"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"189","elidere","elido",4,"elido","elid","-","ere","elid","-","elide",110,"elide","elid","-","elidiamo",3,"elidiamo","elid","-","elida",24,"elida","elid","-",0,1,"-"
"190","eludere","eludo",18,"eludo","elud","-","ere","elud","-","elude",698,"elude","elud","-","eludiamo",16,"eludiamo","elud","-","eluda",94,"eluda","elud","-",0,1,"-"
"191","emergere","emergo",28,"emergo","emerg","g","ere","emerdG","dG","emerge",47669,"emerdGe","emerdG","dG","emergiamo",14,"emerdGamo","emerdG","dG","emerga",2646,"emerga","emerg","g",1,0,"-"
"192","emettere","emetto",80,"emetto","emett","-","ere","emett","-","emette",6899,"emette","emett","-","emettiamo",102,"emettiamo","emett","-","emetta",418,"emetta","emett","-",0,1,"-"
"193","ergere","ergo",3023,"ergo","erg","g","ere","erdG","dG","erge",3240,"erdGe","erdG","dG","ergiamo",18,"erdGamo","erdG","dG","erga",1122,"erga","erg","g",1,0,"-"
"194","erigere","erigo",8,"erigo","erig","g","ere","eridG","dG","erige",389,"eridGe","eridG","dG","erigiamo",12,"eridGamo","eridG","dG","eriga",24,"eriga","erig","g",1,0,"-"
"195","escludere","escludo",2295,"eskludo","esklud","-","ere","esklud","-","esclude",25264,"esklude","esklud","-","escludiamo",1258,"eskludiamo","esklud","-","escluda",1708,"eskluda","esklud","-",0,1,"-"
"196","esigere","esigo",377,"esigo","esig","g","ere","esidG","dG","esige",11252,"esidGe","esidG","dG","esigiamo",339,"esidGamo","esidG","dG","esiga",697,"esiga","esig","g",1,0,"-"
"197","esimere","esimo",5751,"esimo","esim","-","ere","esim","-","esime",1308,"esime","esim","-","esimiamo",22,"esimiamo","esim","-","esima",4693,"esima","esim","-",0,1,"-"
"198","esistere","esisto",8578,"esisto","esist","-","ere","esist","-","esiste",10,"esiste","esist","-","esistiamo",868,"esistiamo","esist","-","esista",18235,"esista","esist","-",0,1,"-"
"199","esistere","esisto",8578,"esisto","esist","-","ere","esist","-","esiste",159924,"esiste","esist","-","esistiamo",868,"esistiamo","esist","-","esista",18235,"esista","esist","-",0,1,"-"
"200","espandere","espando",18,"espando","espand","-","ere","espand","-","espande",3267,"espande","espand","-","espandiamo",38,"espandiamo","espand","-","espanda",210,"espanda","espand","-",0,1,"-"
"201","espellere","espello",29,"espello","espell","-","ere","espell","-","espelle",883,"espelle","espell","-","espelliamo",40,"espelliamo","espell","-","espella",62,"espella","espell","-",0,1,"-"
"202","esplodere","esplodo",86,"esplodo","esplod","-","ere","esplod","-","esplode",5780,"esplode","esplod","-","esplodiamo",20,"esplodiamo","esplod","-","esploda",460,"esploda","esplod","-",0,1,"-"
"203","esprimere","esprimo",4615,"esprimo","esprim","-","ere","esprim","-","esprime",83550,"esprime","esprim","-","esprimiamo",2193,"esprimiamo","esprim","-","esprima",4923,"esprima","esprim","-",0,1,"-"
"204","estendere","estendo",241,"estendo","estend","-","ere","estend","-","estende",22442,"estende","estend","-","estendiamo",165,"estendiamo","estend","-","estenda",1531,"estenda","estend","-",0,1,"-"
"205","estinguere","estinguo",16,"estinguo","estingu","-","ere","estingu","-","estingue",2829,"estingue","estingu","-","estinguiamo",14,"estinguiamo","estingu","-","estingua",210,"estingua","estingu","-",0,1,"-"
"206","estromettere","estrometto",4,"estrometto","estromett","-","ere","estromett","-","estromette",115,"estromette","estromett","-","estromettiamo",3,"estromettiamo","estromett","-","estrometta",8,"estrometta","estromett","-",0,1,"-"
"207","evadere","evado",28,"evado","evad","-","ere","evad","-","evade",706,"evade","evad","-","evadiamo",11,"evadiamo","evad","-","evada",23,"evada","evad","-",0,1,"-"
"208","evincere","evinco",33,"evinko","evink","k","ere","evintS","tS","evince",12567,"evintSe","evintS","tS","evinciamo",14,"evintSamo","evintS","tS","evinca",517,"evinka","evink","k",1,0,"-"
"209","evolvere","evolvo",16,"evolvo","evolv","-","ere","evolv","-","evolve",3850,"evolve","evolv","-","evolviamo",32,"evolviamo","evolv","-","evolva",321,"evolva","evolv","-",0,1,"-"
"210","fingere","fingo",437,"fingo","fing","ng","ere","findG","dG","finge",3332,"findGe","findG","dG","fingiamo",218,"findGamo","findG","dG","finga",201,"finga","fing","ng",1,0,"-"
"211","flettere","fletto",54,"fletto","flett","-","ere","flett","-","flette",321,"flette","flett","-","flettiamo",6,"flettiamo","flett","-","fletta",9,"fletta","flett","-",0,1,"-"
"212","fondere","fondo",76,"fondo","fond","-","ere","fond","-","fonde",3217,"fonde","fond","-","fondiamo",182,"fondiamo","fond","-","fonda",19370,"fonda","fond","-",0,1,"-"
"213","fottere","fotto",307,"fotto","fott","-","ere","fott","-","fotte",1020,"fotte","fott","-","fottiamo",27,"fottiamo","fott","-","fotta",136,"fotta","fott","-",0,1,"-"
"214","fraintendere","fraintendo",19,"fraintendo","fraintend","-","ere","fraintend","-","fraintende",155,"fraintende","fraintend","-","fraintendiamo",60,"fraintendiamo","fraintend","-","fraintenda",161,"fraintenda","fraintend","-",0,1,"-"
"215","fremere","fremo",129,"fremo","frem","-","ere","frem","-","freme",730,"freme","frem","-","fremiamo",10,"fremiamo","frem","-","frema",48,"frema","frem","-",0,1,"-"
"216","friggere","friggo",41,"friggo","frigg","g","ere","friddG","dG","frigge",204,"friddGe","friddG","dG","friggiamo",11,"friddGamo","friddG","dG","frigga",23,"frigga","frigg","g",1,0,"-"
"217","fungere","fungo",153,"fungo","fung","ng","ere","fundG","dG","funge",5123,"fundGe","fundG","dG","fungiamo",52,"fundGamo","fundG","dG","funga",614,"funga","fung","ng",1,0,"-"
"218","gemere","gemo",44,"dGemo","dGem","-","ere","dGem","-","geme",716,"dGeme","dGem","-","gemiamo",114,"dGemiamo","dGem","-","gema",41,"dGema","dGem","-",0,1,"-"
"219","genuflettere","genufletto",10,"dGenufletto","dGenuflett","-","ere","dGenuflett","-","genuflette",32,"dGenuflette","dGenuflett","-","genuflettiamo",4,"dGenuflettiamo","dGenuflett","-","genufletta",7,"dGenufletta","dGenuflett","-",0,1,"-"
"220","giacere","giaccio",170,"dGattSo","dGattS","tS","ere","dGatS","tS","giace",4528,"dGatSe","dGatS","tS","giaciamo",6,"dGatSamo","dGatS","tS","giaccia",137,"dGattSa","dGattS","tS",1,0,"-"
"221","giungere","giungo",1071,"dGungo","dGung","ng","ere","dGundG","dG","giunge",24583,"dGundGe","dGundG","dG","giungiamo",906,"dGundGamo","dGundG","dG","giunga",4187,"dGunga","dGung","ng",1,0,"-"
"222","godere","godo",2184,"godo","god","-","ere","god","-","gode",19775,"gode","god","-","godiamo",1293,"godiamo","god","-","goda",1771,"goda","god","-",0,1,"-"
"223","illudere","illudo",546,"illudo","illud","-","ere","illud","-","illude",1794,"illude","illud","-","illudiamo",411,"illudiamo","illud","-","illuda",516,"illuda","illud","-",0,1,"-"
"224","imbattere","imbatto",370,"imbatto","imbatt","-","ere","imbatt","-","imbatte",2489,"imbatte","imbatt","-","imbattiamo",573,"imbattiamo","imbatt","-","imbatta",161,"imbatta","imbatt","-",0,1,"-"
"225","immergere","immergo",374,"immergo","immerg","g","ere","immerdG","dG","immerge",1924,"immerdGe","immerdG","dG","immergiamo",233,"immerdGamo","immerdG","dG","immerga",97,"immerga","immerg","g",1,0,"-"
"226","immettere","immetto",105,"immetto","immett","-","ere","immett","-","immette",2970,"immette","immett","-","immettiamo",225,"immettiamo","immett","-","immetta",153,"immetta","immett","-",0,1,"-"
"227","imprimere","imprimo",32,"imprimo","imprim","-","ere","imprim","-","imprime",1334,"imprime","imprim","-","imprimiamo",12,"imprimiamo","imprim","-","imprima",140,"imprima","imprim","-",0,1,"-"
"228","incidere","incido",57,"intSido","intSid","-","ere","intSid","-","incide",11948,"intSide","intSid","-","incidiamo",50,"intSidiamo","intSid","-","incida",1848,"intSida","intSid","-",0,1,"-"
"229","includere","includo",260,"inkludo","inklud","-","ere","inklud","-","include",22128,"inklude","inklud","-","includiamo",151,"inkludiamo","inklud","-","includa",1580,"inkluda","inklud","-",0,1,"-"
"230","incorrere","incorro",53,"inkorro","inkorr","-","ere","inkorr","-","incorre",1659,"inkorre","inkorr","-","incorriamo",35,"inkorriamo","inkorr","-","incorra",355,"inkorra","inkorr","-",0,1,"-"
"231","incutere","incuto",11,"inkuto","inkut","-","ere","inkut","-","incute",760,"inkute","inkut","-","incutiamo",5,"inkutiamo","inkut","-","incuta",37,"inkuta","inkut","-",0,1,"-"
"232","indulgere","indulgo",38,"indulgo","indulg","lg","ere","induldG","dG","indulge",492,"induldGe","induldG","dG","indulgiamo",20,"induldGamo","induldG","dG","indulga",68,"indulga","indulg","lg",1,0,"-"
"233","infliggere","infliggo",20,"infliggo","infligg","g","ere","infliddG","dG","infligge",1002,"infliddGe","infliddG","dG","infliggiamo",49,"infliddGamo","infliddG","dG","infligga",82,"infligga","infligg","g",1,0,"-"
"234","infondere","infondo",1553,"infondo","infond","-","ere","infond","-","infonde",1177,"infonde","infond","-","infondiamo",20,"infondiamo","infond","-","infonda",151,"infonda","infond","-",0,1,"-"
"235","infrangere","infrango",72,"infrango","infrang","ng","ere","infrandG","dG","infrange",1743,"infrandGe","infrandG","dG","infrangiamo",21,"infrandGamo","infrandG","dG","infranga",113,"infranga","infrang","ng",1,0,"-"
"236","ingiungere","ingiungo",8,"indGungo","indGung","ng","ere","indGundG","dG","ingiunge",616,"indGundGe","indGundG","dG","ingiungiamo",3,"indGundGamo","indGundG","dG","ingiunga",26,"indGunga","indGung","ng",1,0,"-"
"237","inscrivere","inscrivo",11,"inskrivo","inskriv","-","ere","inskriv","-","inscrive",954,"inskrive","inskriv","-","inscriviamo",11,"inskriviamo","inskriv","-","inscriva",45,"inskriva","inskriv","-",0,1,"-"
"238","insistere","insisto",3210,"insisto","insist","-","ere","insist","-","insiste",17566,"insiste","insist","-","insistiamo",822,"insistiamo","insist","-","insista",844,"insista","insist","-",0,1,"-"
"239","insorgere","insorgo",9,"insorgo","insorg","g","ere","insordG","dG","insorge",2043,"insordGe","insordG","dG","insorgiamo",6,"insordGamo","insordG","dG","insorga",268,"insorga","insorg","g",1,0,"-"
"240","intendere","intendo",24203,"intendo","intend","-","ere","intend","-","intende",153547,"intende","intend","-","intendiamo",12736,"intendiamo","intend","-","intenda",21102,"intenda","intend","-",0,1,"-"
"241","intercedere","intercedo",11,"intertSedo","intertSed","-","ere","intertSed","-","intercede",467,"intertSede","intertSed","-","intercediamo",10,"intertSediamo","intertSed","-","interceda",91,"intertSeda","intertSed","-",0,1,"-"
"242","interrompere","interrompo",551,"interrompo","interromp","-","ere","interromp","-","interrompe",6711,"interrompe","interromp","-","interrompiamo",120,"interrompiamo","interromp","-","interrompa",784,"interrompa","interromp","-",0,1,"-"
"243","intessere","intesso",9,"intesso","intess","-","ere","intess","-","intesse",387,"intesse","intess","-","intessiamo",15,"intessiamo","intess","-","intessa",12,"intessa","intess","-",0,1,"-"
"244","intingere","intingo",27,"intingo","inting","ng","ere","intindG","dG","intinge",112,"intindGe","intindG","dG","intingiamo",5,"intindGamo","intindG","dG","intinga",8,"intinga","inting","ng",1,0,"-"
"245","intraprendere","intraprendo",52,"intraprendo","intraprend","-","ere","intraprend","-","intraprende",2402,"intraprende","intraprend","-","intraprendiamo",150,"intraprendiamo","intraprend","-","intraprenda",375,"intraprenda","intraprend","-",0,1,"-"
"246","intrattenere","intrattengo",114,"intrattengo","intratteng","ng","ere","intratten","-","intrattiene",2481,"intrattiene","intrattien","-","intratteniamo",132,"intratteniamo","intratten","-","intrattenga",124,"intrattenga","intratteng","ng",1,0,"-"
"247","intravedere","intravedo",593,"intravedo","intraved","-","ere","intraved","-","intravede",4010,"intravede","intraved","-","intravediamo",300,"intravediamo","intraved","-","intraveda",112,"intraveda","intraved","-",0,1,"-"
"248","intravvedere","intravvedo",54,"intravvedo","intravved","-","ere","intravved","-","intravvede",397,"intravvede","intravved","-","intravvediamo",29,"intravvediamo","intravved","-","intravveda",21,"intravveda","intravved","-",0,1,"-"
"249","invadere","invado",47,"invado","invad","-","ere","invad","-","invade",3397,"invade","invad","-","invadiamo",106,"invadiamo","invad","-","invada",257,"invada","invad","-",0,1,"-"
"250","irrompere","irrompo",30,"irrompo","irromp","-","ere","irromp","-","irrompe",2247,"irrompe","irromp","-","irrompiamo",11,"irrompiamo","irromp","-","irrompa",65,"irrompa","irromp","-",0,1,"-"
"251","iscrivere","iscrivo",600,"iskrivo","iskriv","-","ere","iskriv","-","iscrive",5591,"iskrive","iskriv","-","iscriviamo",88,"iskriviamo","iskriv","-","iscriva",383,"iskriva","iskriv","-",0,1,"-"
"252","ledere","ledo",9,"ledo","led","-","ere","led","-","lede",1851,"lede","led","-","lediamo",3,"lediamo","led","-","leda",544,"leda","led","-",0,1,"-"
"253","leggere","leggo",19864,"leggo","legg","g","ere","leddG","dG","legge",81800,"leddGe","leddG","dG","leggiamo",6199,"leddGamo","leddG","dG","legga",5633,"legga","legg","g",1,0,"-"
"254","mantenere","mantengo",852,"mantengo","manteng","ng","ere","manten","-","mantiene",25128,"mantiene","mantien","-","manteniamo",1028,"manteniamo","manten","-","mantenga",3622,"mantenga","manteng","ng",1,0,"-"
"255","mettere","metto",23202,"metto","mett","-","ere","mett","-","mette",118997,"mette","mett","-","mettiamo",13926,"mettiamo","mett","-","metta",14608,"metta","mett","-",0,1,"-"
"256","mietere","mieto",19,"mieto","miet","-","ere","miet","-","miete",758,"miete","miet","-","mietiamo",8,"mietiamo","miet","-","mieta",27,"mieta","miet","-",0,1,"-"
"257","mordere","mordo",246,"mordo","mord","-","ere","mord","-","morde",2304,"morde","mord","-","mordiamo",21,"mordiamo","mord","-","morda",121,"morda","mord","-",0,1,"-"
"258","mungere","mungo",47,"mungo","mung","ng","ere","mundG","dG","munge",74,"mundGe","mundG","dG","mungiamo",5,"mundGamo","mundG","dG","munga",52,"munga","mung","ng",1,0,"-"
"259","muovere","muovo",1807,"muovo","muov","-","ere","muov","-","muove",37283,"muove","muov","-","muoviamo",1999,"muoviamo","muov","-","muova",3029,"muova","muov","-",0,1,"-"
"260","nascere","nasco",251,"nasko","nask","k","ere","naSS","-","nasce",96914,"naSSe","naSS","-","nasciamo",415,"naSSamo","naSS","-","nasca",3411,"naska","nask","k",1,0,"-"
"261","nascondere","nascondo",2805,"naskondo","naskond","-","ere","naskond","-","nasconde",21654,"naskonde","naskond","-","nascondiamo",891,"naskondiamo","naskond","-","nasconda",1677,"naskonda","naskond","-",0,1,"-"
"262","nuocere","nuoccio",3,"nuottSo","nuottS","tS","ere","nuotS","tS","nuoce",1988,"nuotSe","nuotS","tS","nuociamo",10,"nuotSamo","nuotS","tS","nuoccia",126,"nuottSa","nuottS","tS",1,0,"-"
"263","nuocere","nuoccio",3,"nuottSo","nuottS","tS","ere","nuotS","tS","nuoce",1988,"nuotSe","nuotS","tS","nuociamo",10,"nuotSamo","nuotS","tS","noccia",46,"nottSa","nottS","tS",0,0,"-"
"264","nuocere","noccio",5,"nottSo","nottS","tS","ere","nuotS","tS","nuoce",1988,"nuotSe","nuotS","tS","nuociamo",10,"nuotSamo","nuotS","tS","nuoccia",126,"nuottSa","nuottS","tS",0,0,"-"
"265","nuocere","noccio",5,"nottSo","nottS","tS","ere","nuotS","tS","nuoce",1988,"nuotSe","nuotS","tS","nuociamo",10,"nuotSamo","nuotS","tS","noccia",46,"nottSa","nottS","tS",1,0,"-"
"266","offendere","offendo",602,"offendo","offend","-","ere","offend","-","offende",3810,"offende","offend","-","offendiamo",165,"offendiamo","offend","-","offenda",701,"offenda","offend","-",0,1,"-"
"267","omettere","ometto",220,"ometto","omett","-","ere","omett","-","omette",2732,"omette","omett","-","omettiamo",91,"omettiamo","omett","-","ometta",779,"ometta","omett","-",0,1,"-"
"268","opprimere","opprimo",12,"opprimo","opprim","-","ere","opprim","-","opprime",1443,"opprime","opprim","-","opprimiamo",4,"opprimiamo","opprim","-","opprima",53,"opprima","opprim","-",0,1,"-"
"269","ottenere","ottengo",1755,"ottengo","otteng","ng","ere","otten","-","ottiene",33155,"ottiene","ottien","-","otteniamo",2509,"otteniamo","otten","-","ottenga",2175,"ottenga","otteng","ng",1,0,"-"
"270","pascere","pasco",55,"pasko","pask","k","ere","paSS","-","pasce",347,"paSSe","paSS","-","pasciamo",4,"paSSamo","paSS","-","pasca",77,"paska","pask","k",1,0,"-"
"271","pendere","pendo",78,"pendo","pend","-","ere","pend","-","pende",3001,"pende","pend","-","pendiamo",25,"pendiamo","pend","-","penda",227,"penda","pend","-",0,1,"-"
"272","percorrere","percorro",630,"perkorro","perkorr","-","ere","perkorr","-","percorre",8381,"perkorre","perkorr","-","percorriamo",1050,"perkorriamo","perkorr","-","percorra",328,"perkorra","perkorr","-",0,1,"-"
"273","perdere","perdo",5335,"perdo","perd","-","ere","perd","-","perde",46486,"perde","perd","-","perdiamo",3799,"perdiamo","perd","-","perda",5107,"perda","perd","-",0,1,"-"
"274","permanere","permango",13,"permango","permang","ng","ere","perman","-","permane",6907,"permane","perman","-","permaniamo",8,"permaniamo","perman","-","permanga",1229,"permanga","permang","ng",1,0,"-"
"275","permettere","permetto",9657,"permetto","permett","-","ere","permett","-","permette",132041,"permette","permett","-","permettiamo",1884,"permettiamo","permett","-","permetta",14997,"permetta","permett","-",0,1,"-"
"276","persistere","persisto",34,"persisto","persist","-","ere","persist","-","persiste",3091,"persiste","persist","-","persistiamo",25,"persistiamo","persist","-","persista",578,"persista","persist","-",0,1,"-"
"277","persuadere","persuado",52,"persuado","persuad","-","ere","persuad","-","persuade",596,"persuade","persuad","-","persuadiamo",13,"persuadiamo","persuad","-","persuada",101,"persuada","persuad","-",0,1,"-"
"278","piacere","piaccio",953,"piattSo","piattS","tS","ere","piatS","tS","piace",113953,"piatSe","piatS","tS","piacciamo",93,"piattSamo","","-","piaccia",6962,"piattSa","piattS","tS",1,0,"-"
"279","piangere","piango",2462,"piango","piang","ng","ere","piandG","dG","piange",8469,"piandGe","piandG","dG","piangiamo",494,"piandGamo","piandG","dG","pianga",545,"pianga","piang","ng",1,0,"-"
"280","pingere","pingo",34,"pingo","ping","ng","ere","pindG","dG","pinge",40,"pindGe","pindG","dG","pingiamo",3,"pindGamo","pindG","dG","pinga",61,"pinga","ping","ng",1,0,"-"
"281","porgere","porgo",3283,"porgo","porg","g","ere","pordG","dG","porge",2712,"pordGe","pordG","dG","porgiamo",677,"pordGamo","pordG","dG","porga",168,"porga","porg","g",1,0,"-"
"282","possedere","possiedo",2748,"possiedo","possied","-","ere","possed","-","possiede",38452,"possiede","possied","-","possediamo",2112,"possediamo","possed","-","possieda",2172,"possieda","possied","-",0,0,"-"
"283","possedere","possiedo",2748,"possiedo","possied","-","ere","possed","-","possiede",38452,"possiede","possied","-","possiediamo",11,"possiediamo","","-","possieda",2172,"possieda","possied","-",0,0,"-"
"284","possedere","posseggo",1361,"posseggo","possegg","g","ere","possed","-","possiede",38452,"possiede","possied","-","possediamo",2112,"possediamo","possed","-","possieda",2172,"possieda","possied","-",0,0,"-"
"285","possedere","posseggo",1361,"posseggo","possegg","g","ere","possed","-","possiede",38452,"possiede","possied","-","possiediamo",11,"possiediamo","","-","possieda",2172,"possieda","possied","-",0,0,"-"
"286","precedere","precedo",58,"pretSedo","pretSed","-","ere","pretSed","-","precede",14446,"pretSede","pretSed","-","precediamo",10,"pretSediamo","pretSed","-","preceda",434,"pretSeda","pretSed","-",0,1,"-"
"287","precludere","precludo",22,"prekludo","preklud","-","ere","preklud","-","preclude",3522,"preklude","preklud","-","precludiamo",26,"prekludiamo","preklud","-","precluda",291,"prekluda","preklud","-",0,1,"-"
"288","precorrere","precorro",3,"prekorro","prekorr","-","ere","prekorr","-","precorre",246,"prekorre","prekorr","-","precorriamo",10,"prekorriamo","prekorr","-","precorra",12,"prekorra","prekorr","-",0,1,"-"
"289","prediligere","prediligo",552,"prediligo","predilig","g","ere","predilidG","dG","predilige",2594,"predilidGe","predilidG","dG","prediligiamo",39,"predilidGamo","predilidG","dG","prediliga",126,"prediliga","predilig","g",1,0,"-"
"290","prefiggere","prefiggo",101,"prefiggo","prefigg","g","ere","prefiddG","dG","prefigge",6170,"prefiddGe","prefiddG","dG","prefiggiamo",233,"prefiddGamo","prefiddG","dG","prefigga",156,"prefigga","prefigg","g",1,0,"-"
"291","premere","premo",649,"premo","prem","-","ere","prem","-","preme",9390,"preme","prem","-","premiamo",1708,"premiamo","prem","-","prema",285,"prema","prem","-",0,1,"-"
"292","premettere","premetto",2878,"premetto","premett","-","ere","premett","-","premette",2733,"premette","premett","-","premettiamo",62,"premettiamo","premett","-","premetta",28,"premetta","premett","-",0,1,"-"
"293","prendere","prendo",17954,"prendo","prend","-","ere","prend","-","prende",101778,"prende","prend","-","prendiamo",11058,"prendiamo","prend","-","prenda",10815,"prenda","prend","-",0,1,"-"
"294","prescindere","prescindo",34,"preSSindo","preSSind","-","ere","preSSind","-","prescinde",4602,"preSSinde","preSSind","-","prescindiamo",83,"preSSindiamo","preSSind","-","prescinda",571,"preSSinda","preSSind","-",0,1,"-"
"295","prescrivere","prescrivo",103,"preskrivo","preskriv","-","ere","preskriv","-","prescrive",8459,"preskrive","preskriv","-","prescriviamo",42,"preskriviamo","preskriv","-","prescriva",542,"preskriva","preskriv","-",0,1,"-"
"296","presumere","presumo",2343,"presumo","presum","-","ere","presum","-","presume",5744,"presume","presum","-","presumiamo",229,"presumiamo","presum","-","presuma",177,"presuma","presum","-",0,1,"-"
"297","pretendere","pretendo",2324,"pretendo","pretend","-","ere","pretend","-","pretende",12014,"pretende","pretend","-","pretendiamo",1278,"pretendiamo","pretend","-","pretenda",1230,"pretenda","pretend","-",0,1,"-"
"298","prevedere","prevedo",1269,"prevedo","preved","-","ere","preved","-","prevede",253087,"prevede","preved","-","prevediamo",1244,"prevediamo","preved","-","preveda",13634,"preveda","preved","-",0,1,"-"
"299","procedere","procedo",525,"protSedo","protSed","-","ere","protSed","-","procede",49526,"protSede","protSed","-","procediamo",1621,"protSediamo","protSed","-","proceda",6986,"protSeda","protSed","-",0,1,"-"
"300","profondere","profondo",40,"profondo","profond","-","ere","profond","-","profonde",97,"profonde","profond","-","profondiamo",12,"profondiamo","profond","-","profonda",44,"profonda","profond","-",0,1,"-"
"301","promettere","prometto",3377,"prometto","promett","-","ere","promett","-","promette",14782,"promette","promett","-","promettiamo",414,"promettiamo","promett","-","prometta",300,"prometta","promett","-",0,1,"-"
"302","promuovere","promuovo",143,"promuovo","promuov","-","ere","promuov","-","promuove",33585,"promuove","promuov","-","promuoviamo",338,"promuoviamo","promuov","-","promuova",2357,"promuova","promuov","-",0,1,"-"
"303","propendere","propendo",536,"propendo","propend","-","ere","propend","-","propende",824,"propende","propend","-","propendiamo",68,"propendiamo","propend","-","propenda",69,"propenda","propend","-",0,1,"-"
"304","prorompere","prorompo",11,"prorompo","proromp","-","ere","proromp","-","prorompe",337,"prorompe","proromp","-","prorompiamo",4,"prorompiamo","proromp","-","prorompa",19,"prorompa","proromp","-",0,1,"-"
"305","proteggere","proteggo",142,"proteggo","protegg","g","ere","proteddG","dG","protegge",8052,"proteddGe","proteddG","dG","proteggiamo",167,"proteddGamo","proteddG","dG","protegga",1368,"protegga","protegg","g",1,0,"-"
"306","protendere","protendo",50,"protendo","protend","-","ere","protend","-","protende",812,"protende","protend","-","protendiamo",7,"protendiamo","protend","-","protenda",23,"protenda","protend","-",0,1,"-"
"307","provvedere","provvedo",449,"provvedo","provved","-","ere","provved","-","provvede",82040,"provvede","provved","-","provvediamo",215,"provvediamo","provved","-","provveda",7287,"provveda","provved","-",0,1,"-"
"308","pungere","pungo",123,"pungo","pung","ng","ere","pundG","dG","punge",861,"pundGe","pundG","dG","pungiamo",4,"pundGamo","pundG","dG","punga",91,"punga","pung","ng",1,0,"-"
"309","racchiudere","racchiudo",56,"rakkiudo","rakkiud","-","ere","rakkiud","-","racchiude",7432,"rakkiude","rakkiud","-","racchiudiamo",15,"rakkiudiamo","rakkiud","-","racchiuda",352,"rakkiuda","rakkiud","-",0,1,"-"
"310","raccogliere","raccolgo",1286,"rakkolgo","rakkolg","lg","ere","rakkoLL","LL","raccoglie",31934,"rakkoLLe","rakkoLL","LL","raccogliamo",1012,"rakkoLLamo","rakkoLL","LL","raccolga",1744,"rakkolga","rakkolg","lg",1,0,"-"
"311","radere","rado",126,"rado","rad","-","ere","rad","-","rade",262,"rade","rad","-","radiamo",32,"radiamo","rad","-","rada",78,"rada","rad","-",0,1,"-"
"312","raggiungere","raggiungo",1438,"raddGungo","raddGung","ng","ere","raddGundG","dG","raggiunge",35420,"raddGundGe","raddGundG","dG","raggiungiamo",2489,"raddGundGamo","raddGundG","dG","raggiunga",4438,"raddGunga","raddGung","ng",1,0,"-"
"313","ravvedere","ravvedo",29,"ravvedo","ravved","-","ere","ravved","-","ravvede",212,"ravvede","ravved","-","ravvediamo",23,"ravvediamo","ravved","-","ravveda",144,"ravveda","ravved","-",0,1,"-"
"314","recedere","recedo",17,"retSedo","retSed","-","ere","retSed","-","recede",457,"retSede","retSed","-","recediamo",3,"retSediamo","retSed","-","receda",236,"retSeda","retSed","-",0,1,"-"
"315","recidere","recido",6,"retSido","retSid","-","ere","retSid","-","recide",244,"retSide","retSid","-","recidiamo",4,"retSidiamo","retSid","-","recida",41,"retSida","retSid","-",0,1,"-"
"316","redigere","redigo",35,"redigo","redig","g","ere","redidG","dG","redige",5161,"redidGe","redidG","dG","redigiamo",14,"redidGamo","redidG","dG","rediga",304,"rediga","redig","g",1,0,"-"
"317","reggere","reggo",670,"reggo","regg","g","ere","reddG","dG","regge",8898,"reddGe","reddG","dG","reggiamo",59,"reddGamo","reddG","dG","regga",782,"regga","regg","g",1,0,"-"
"318","rendere","rendo",12429,"rendo","rend","-","ere","rend","-","rende",120927,"rende","rend","-","rendiamo",6418,"rendiamo","rend","-","renda",14064,"renda","rend","-",0,1,"-"
"319","reprimere","reprimo",27,"reprimo","reprim","-","ere","reprim","-","reprime",633,"reprime","reprim","-","reprimiamo",21,"reprimiamo","reprim","-","reprima",59,"reprima","reprim","-",0,1,"-"
"320","resistere","resisto",1055,"resisto","resist","-","ere","resist","-","resiste",6953,"resiste","resist","-","resistiamo",270,"resistiamo","resist","-","resista",444,"resista","resist","-",0,1,"-"
"321","respingere","respingo",247,"respingo","resping","ng","ere","respindG","dG","respinge",26290,"respindGe","respindG","dG","respingiamo",434,"respindGamo","respindG","dG","respinga",396,"respinga","resping","ng",1,0,"-"
"322","restringere","restringo",34,"restringo","restring","ng","ere","restrindG","dG","restringe",2149,"restrindGe","restrindG","dG","restringiamo",64,"restrindGamo","restrindG","dG","restringa",155,"restringa","restring","ng",1,0,"-"
"323","retrocedere","retrocedo",13,"retrotSedo","retrotSed","-","ere","retrotSed","-","retrocede",584,"retrotSede","retrotSed","-","retrocediamo",45,"retrotSediamo","retrotSed","-","retroceda",53,"retrotSeda","retrotSed","-",0,1,"-"
"324","riaccendere","riaccendo",106,"riattSendo","riattSend","-","ere","riattSend","-","riaccende",1245,"riattSende","riattSend","-","riaccendiamo",24,"riattSendiamo","riattSend","-","riaccenda",64,"riattSenda","riattSend","-",0,1,"-"
