"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"37","avere","ho",114,"ho","h","-","ere","av","-","ha",1317423,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"41","avere","ho",350235,"ho","h","-","ere","av","-","ha",65,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"65","avvalere","avvalgo",243,"avvalgo","avvalg","lg","ere","avval","-","avvale",19816,"avvale","avval","-","avvaliamo",165,"avvaliamo","avval","-","avvalga",1562,"avvalga","avvalg","lg",1,0,"-"
"66","avvedere","avvedo",86,"avvedo","avved","-","ere","avved","-","avvede",597,"avvede","avved","-","avvediamo",35,"avvediamo","avved","-","avveda",76,"avveda","avved","-",0,1,"-"
"67","avvolgere","avvolgo",159,"avvolgo","avvolg","lg","ere","avvoldG","dG","avvolge",6137,"avvoldGe","avvoldG","dG","avvolgiamo",34,"avvoldGamo","avvoldG","dG","avvolga",124,"avvolga","avvolg","lg",1,0,"-"
"68","battere","batto",813,"batto","batt","-","ere","batt","-","batte",18710,"batte","batt","-","battiamo",1028,"battiamo","batt","-","batta",686,"batta","batt","-",0,1,"-"
"69","bere","bevo",2591,"bevo","bev","-","ere","b","-","beve",7879,"beve","bev","-","beviamo",1078,"beviamo","b","-","beva",1802,"beva","bev","-",0,0,"-"
"77","cadere","cado",933,"kado","kad","-","ere","kad","-","cade",23908,"kade","kad","-","cadiamo",660,"kadiamo","kad","-","cada",3085,"kada","kad","-",0,1,"-"
"78","capere","capo",11,"kapo","kap","-","ere","kap","-","cape",87,"kape","kap","-","capiamo",3677,"kapiamo","kap","-","capa",62,"kapa","kap","-",0,1,"-"
"79","capovolgere","capovolgo",21,"kapovolgo","kapovolg","lg","ere","kapovoldG","dG","capovolge",896,"kapovoldGe","kapovoldG","dG","capovolgiamo",23,"kapovoldGamo","kapovoldG","dG","capovolga",47,"kapovolga","kapovolg","lg",1,0,"-"
"80","cedere","cedo",802,"tSedo","tSed","-","ere","tSed","-","cede",7844,"tSede","tSed","-","cediamo",320,"tSediamo","tSed","-","ceda",860,"tSeda","tSed","-",0,1,"-"
"81","chiedere","chiedo",65541,"kiedo","kied","-","ere","kied","-","chiede",151951,"kiede","kied","-","chiediamo",26326,"kiediamo","kied","-","chieda",5836,"kieda","kied","-",0,1,"-"
"82","chiudere","chiudo",4504,"kiudo","kiud","-","ere","kiud","-","chiude",34600,"kiude","kiud","-","chiudiamo",2030,"kiudiamo","kiud","-","chiuda",1767,"kiuda","kiud","-",0,1,"-"
"83","cingere","cingo",31,"tSingo","tSing","ng","ere","tSindG","dG","cinge",721,"tSindGe","tSindG","dG","cingiamo",7,"tSindGamo","tSindG","dG","cinga",38,"tSinga","tSing","ng",1,0,"-"
"84","circoscrivere","circoscrivo",6,"tSirkoskrivo","tSirkoskriv","-","ere","tSirkoskriv","-","circoscrive",754,"tSirkoskrive","tSirkoskriv","-","circoscriviamo",13,"tSirkoskriviamo","tSirkoskriv","-","circoscriva",56,"tSirkoskriva","tSirkoskriv","-",0,1,"-"
"85","cogliere","colgo",2970,"kolgo","kolg","lg","ere","koLL","LL","coglie",10690,"koLLe","koLL","LL","cogliamo",913,"koLLamo","koLL","LL","colga",1027,"kolga","kolg","lg",1,0,"-"
"86","coinvolgere","coinvolgo",51,"koinvolgo","koinvolg","lg","ere","koinvoldG","dG","coinvolge",23334,"koinvoldGe","koinvoldG","dG","coinvolgiamo",134,"koinvoldGamo","koinvoldG","dG","coinvolga",4005,"koinvolga","koinvolg","lg",1,0,"-"
"87","combattere","combatto",610,"kombatto","kombatt","-","ere","kombatt","-","combatte",9313,"kombatte","kombatt","-","combattiamo",918,"kombattiamo","kombatt","-","combatta",453,"kombatta","kombatt","-",0,1,"-"
"88","commettere","commetto",271,"kommetto","kommett","-","ere","kommett","-","commette",5956,"kommette","kommett","-","commettiamo",374,"kommettiamo","kommett","-","commetta",901,"kommetta","kommett","-",0,1,"-"
"89","commuovere","commuovo",504,"kommuovo","kommuov","-","ere","kommuov","-","commuove",2341,"kommuove","kommuov","-","commuoviamo",56,"kommuoviamo","kommuov","-","commuova",85,"kommuova","kommuov","-",0,1,"-"
"90","competere","competo",58,"kompeto","kompet","-","ere","kompet","-","compete",16221,"kompete","kompet","-","competiamo",24,"kompetiamo","kompet","-","competa",586,"kompeta","kompet","-",0,1,"-"
"91","compiacere","compiaccio",553,"kompiattSo","kompiattS","tS","ere","kompiatS","tS","compiace",2064,"kompiatSe","kompiatS","tS","compiacciamo",70,"kompiattSamo","","-","compiaccia",117,"kompiattSa","kompiattS","tS",1,0,"-"
"92","compiangere","compiango",94,"kompiango","kompiang","ng","ere","kompiandG","dG","compiange",117,"kompiandGe","kompiandG","dG","compiangiamo",8,"kompiandGamo","kompiandG","dG","compianga",37,"kompianga","kompiang","ng",1,0,"-"
"93","compiere","compio",771,"kompio","kompi","-","ere","kompi","-","compie",23087,"kompie","kompi","-","compiamo",754,"kompiamo","kompi","-","compia",2662,"kompia","kompi","-",0,1,"-"
"94","comprendere","comprendo",3656,"komprendo","komprend","-","ere","komprend","-","comprende",71255,"komprende","komprend","-","comprendiamo",2499,"komprendiamo","komprend","-","comprenda",4859,"komprenda","komprend","-",0,1,"-"
"95","comprimere","comprimo",43,"komprimo","komprim","-","ere","komprim","-","comprime",1043,"komprime","komprim","-","comprimiamo",18,"komprimiamo","komprim","-","comprima",82,"komprima","komprim","-",0,1,"-"
"96","compromettere","comprometto",29,"komprometto","kompromett","-","ere","kompromett","-","compromette",1892,"kompromette","kompromett","-","compromettiamo",18,"kompromettiamo","kompromett","-","comprometta",616,"komprometta","kompromett","-",0,1,"-"
"97","concedere","concedo",1235,"kontSedo","kontSed","-","ere","kontSed","-","concede",15801,"kontSede","kontSed","-","concediamo",660,"kontSediamo","kontSed","-","conceda",2117,"kontSeda","kontSed","-",0,1,"-"
"98","concludere","concludo",2591,"konkludo","konklud","-","ere","konklud","-","conclude",56644,"konklude","konklud","-","concludiamo",643,"konkludiamo","konklud","-","concluda",2371,"konkluda","konklud","-",0,1,"-"
"99","concorrere","concorro",50,"konkorro","konkorr","-","ere","konkorr","-","concorre",9363,"konkorre","konkorr","-","concorriamo",34,"konkorriamo","konkorr","-","concorra",851,"konkorra","konkorr","-",0,1,"-"
"100","condividere","condivido",13321,"kondivido","kondivid","-","ere","kondivid","-","condivide",18909,"kondivide","kondivid","-","condividiamo",4465,"kondividiamo","kondivid","-","condivida",1360,"kondivida","kondivid","-",0,1,"-"
"101","confondere","confondo",553,"konfondo","konfond","-","ere","konfond","-","confonde",5157,"konfonde","konfond","-","confondiamo",670,"konfondiamo","konfond","-","confonda",510,"konfonda","konfond","-",0,1,"-"
"102","congiungere","congiungo",22,"kondGungo","kondGung","ng","ere","kondGundG","dG","congiunge",1753,"kondGundGe","kondGundG","dG","congiungiamo",18,"kondGundGamo","kondGundG","dG","congiunga",100,"kondGunga","kondGung","ng",1,0,"-"
"103","connettere","connetto",400,"konnetto","konnett","-","ere","konnett","-","connette",2933,"konnette","konnett","-","connettiamo",69,"konnettiamo","konnett","-","connetta",226,"konnetta","konnett","-",0,1,"-"
"104","conoscere","conosco",43370,"konosko","konosk","k","ere","konoSS","-","conosce",62578,"konoSSe","konoSS","-","conosciamo",21807,"konoSSamo","konoSS","-","conosca",6595,"konoska","konosk","k",1,0,"-"
"105","consistere","consisto",5,"konsisto","konsist","-","ere","konsist","-","consiste",64693,"konsiste","konsist","-","consistiamo",3,"konsistiamo","konsist","-","consista",2620,"konsista","konsist","-",0,1,"-"
"106","contendere","contendo",28,"kontendo","kontend","-","ere","kontend","-","contende",496,"kontende","kontend","-","contendiamo",9,"kontendiamo","kontend","-","contenda",32,"kontenda","kontend","-",0,1,"-"
"107","contenere","contengo",93,"kontengo","konteng","ng","ere","konten","-","contiene",86395,"kontiene","kontien","-","conteniamo",30,"konteniamo","konten","-","contenga",7159,"kontenga","konteng","ng",1,0,"-"
"108","contorcere","contorco",30,"kontorko","kontork","k","ere","kontortS","tS","contorce",428,"kontortSe","kontortS","tS","contorciamo",4,"kontortSamo","kontortS","tS","contorca",7,"kontorka","kontork","k",1,0,"-"
"109","contraddistinguere","contraddistinguo",5,"kontraddistinguo","kontraddistingu","-","ere","kontraddistingu","-","contraddistingue",6496,"kontraddistingue","kontraddistingu","-","contraddistinguiamo",3,"kontraddistinguiamo","kontraddistingu","-","contraddistingua",136,"kontraddistingua","kontraddistingu","-",0,1,"-"
"110","convergere","convergo",3,"konvergo","konverg","g","ere","konverdG","dG","converge",951,"konverdGe","konverdG","dG","convergiamo",24,"konverdGamo","konverdG","dG","converga",122,"konverga","konverg","g",1,0,"-"
"111","convincere","convinco",785,"konvinko","konvink","k","ere","konvintS","tS","convince",10516,"konvintSe","konvintS","tS","convinciamo",176,"konvintSamo","konvintS","tS","convinca",819,"konvinka","konvink","k",1,0,"-"
"112","convivere","convivo",334,"konvivo","konviv","-","ere","konviv","-","convive",2177,"konvive","konviv","-","conviviamo",191,"konviviamo","konviv","-","conviva",302,"konviva","konviv","-",0,1,"-"
"113","correggere","correggo",1095,"korreggo","korregg","g","ere","korreddG","dG","corregge",2980,"korreddGe","korreddG","dG","correggiamo",111,"korreddGamo","korreddG","dG","corregga",607,"korregga","korregg","g",1,0,"-"
"114","correre","corro",2863,"korro","korr","-","ere","korr","-","corre",30486,"korre","korr","-","corriamo",1795,"korriamo","korr","-","corra",1411,"korra","korr","-",0,1,"-"
"115","corrispondere","corrispondo",124,"korrispondo","korrispond","-","ere","korrispond","-","corrisponde",37420,"korrisponde","korrispond","-","corrispondiamo",41,"korrispondiamo","korrispond","-","corrisponda",5313,"korrisponda","korrispond","-",0,1,"-"
"116","corrompere","corrompo",39,"korrompo","korromp","-","ere","korromp","-","corrompe",986,"korrompe","korromp","-","corrompiamo",7,"korrompiamo","korromp","-","corrompa",82,"korrompa","korromp","-",0,1,"-"
"117","cospargere","cospargo",131,"kospargo","kosparg","g","ere","kospardG","dG","cosparge",166,"kospardGe","kospardG","dG","cospargiamo",17,"kospardGamo","kospardG","dG","cosparga",16,"kosparga","kosparg","g",1,0,"-"
"118","costringere","costringo",176,"kostringo","kostring","ng","ere","kostrindG","dG","costringe",11812,"kostrindGe","kostrindG","dG","costringiamo",171,"kostrindGamo","kostrindG","dG","costringa",905,"kostringa","kostring","ng",1,0,"-"
"119","credere","credo",256743,"kredo","kred","-","ere","kred","-","crede",47997,"krede","kred","-","crediamo",19315,"krediamo","kred","-","creda",6495,"kreda","kred","-",0,1,"-"
