"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"26","arrossire","arrossisco",142,"arrossisko","arrossisk","arross","k","ire","arross","-","arrossisce",336,"arrossiSSe","arrossiSS","-","arrossiamo",9,"arrossiamo","arross","-","arrossisca",46,"arrossiska","arrossisk","k",1,0
"27","arrostire","arrostisco",8,"arrostisko","arrostisk","arrost","k","ire","arrost","-","arrostisce",52,"arrostiSSe","arrostiSS","-","arrostiamo",11,"arrostiamo","arrost","-","arrostisca",4,"arrostiska","arrostisk","k",1,0
"28","assalire","assalgo",9,"assalgo","assalg","assalg","lg","ire","assal","-","assale",2398,"assale","assal","-","assaliamo",9,"assaliamo","assal","-","assalga",51,"assalga","assalg","lg",1,0
"29","assentire","assento",204,"assento","assent","assent","-","ire","assent","-","assente",117,"assente","assent","-","assentiamo",22,"assentiamo","assent","-","assenta",468,"assenta","assent","-",0,1
"30","asserire","asserisco",85,"asserisko","asserisk","asser","k","ire","asser","-","asserisce",2623,"asseriSSe","asseriSS","-","asseriamo",36,"asseriamo","asser","-","asserisca",58,"asseriska","asserisk","k",1,0
"31","assopire","assopisco",28,"assopisko","assopisk","assop","k","ire","assop","-","assopisce",167,"assopiSSe","assopiSS","-","assopiamo",5,"assopiamo","assop","-","assopisca",15,"assopiska","assopisk","k",1,0
"32","assorbire","assorbo",65,"assorbo","assorb","assorb","-","ire","assorb","-","assorbe",5290,"assorbe","assorb","-","assorbiamo",94,"assorbiamo","assorb","-","assorba",322,"assorba","assorb","-",0,1
"33","atterrire","atterrisco",3,"atterrisko","atterrisk","atterr","k","ire","atterr","-","atterrisce",241,"atterriSSe","atterriSS","-","atterriamo",246,"atterriamo","atterr","-","atterrisca",11,"atterriska","atterrisk","k",1,0
"34","attribuire","attribuisco",492,"attribuisko","attribuisk","attribu","k","ire","attribu","-","attribuisce",21036,"attribuiSSe","attribuiSS","-","attribuiamo",833,"attribuiamo","attribu","-","attribuisca",1305,"attribuiska","attribuisk","k",1,0
"35","attutire","attutisco",6,"attutisko","attutisk","attut","k","ire","attut","-","attutisce",192,"attutiSSe","attutiSS","-","attutiamo",3,"attutiamo","attut","-","attutisca",31,"attutiska","attutisk","k",1,0
