"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"142","incenerire","incenerisco",14,"intSenerisko","intSenerisk","intSener","k","ire","intSener","-","incenerisce",109,"intSeneriSSe","intSeneriSS","-","inceneriamo",3,"intSeneriamo","intSener","-","incenerisca",19,"intSeneriska","intSenerisk","k",1,0
"143","incuriosire","incuriosisco",30,"inkuriosisko","inkuriosisk","inkurios","k","ire","inkurios","-","incuriosisce",1767,"inkuriosiSSe","inkuriosiSS","-","incuriosiamo",7,"inkuriosiamo","inkurios","-","incuriosisca",42,"inkuriosiska","inkuriosisk","k",1,0
"144","indebolire","indebolisco",6,"indebolisko","indebolisk","indebol","k","ire","indebol","-","indebolisce",2025,"indeboliSSe","indeboliSS","-","indeboliamo",18,"indeboliamo","indebol","-","indebolisca",246,"indeboliska","indebolisk","k",1,0
"145","indire","indico",916,"indiko","indik","indik","k","ire","ind","-","indice",1394,"inditSe","inditS","tS","indiciamo",23,"inditSamo","ind","-","indica",64852,"indika","indik","k",1,0
"146","indurire","indurisco",16,"indurisko","indurisk","indur","k","ire","indur","-","indurisce",358,"induriSSe","induriSS","-","induriamo",4,"induriamo","indur","-","indurisca",85,"induriska","indurisk","k",1,0
"147","infastidire","infastidisco",36,"infastidisko","infastidisk","infastid","k","ire","infastid","-","infastidisce",1603,"infastidiSSe","infastidiSS","-","infastidiamo",12,"infastidiamo","infastid","-","infastidisca",85,"infastidiska","infastidisk","k",1,0
"148","inferire","inferisco",10,"inferisko","inferisk","infer","k","ire","infer","-","inferisce",142,"inferiSSe","inferiSS","-","inferiamo",21,"inferiamo","infer","-","inferisca",14,"inferiska","inferisk","k",1,0
"149","infierire","infierisco",27,"infierisko","infierisk","infier","k","ire","infier","-","infierisce",331,"infieriSSe","infieriSS","-","infieriamo",20,"infieriamo","infier","-","infierisca",38,"infieriska","infierisk","k",1,0
"150","influire","influisco",4,"influisko","influisk","influ","k","ire","influ","-","influisce",4065,"influiSSe","influiSS","-","influiamo",7,"influiamo","influ","-","influisca",539,"influiska","influisk","k",1,0
"151","ingerire","ingerisco",21,"indGerisko","indGerisk","indGer","k","ire","indGer","-","ingerisce",226,"indGeriSSe","indGeriSS","-","ingeriamo",125,"indGeriamo","indGer","-","ingerisca",58,"indGeriska","indGerisk","k",1,0
"152","inghiottire","inghiottisco",4,"ingiottisko","ingiottisk","ingiott","k","ire","ingiott","-","inghiottisce",44,"ingiottiSSe","ingiottiSS","-","inghiottiamo",7,"ingiottiamo","ingiott","-","inghiottisca",15,"ingiottiska","ingiottisk","k",1,0
"153","ingigantire","ingigantisco",12,"indGigantisko","indGigantisk","indGigant","k","ire","indGigant","-","ingigantisce",279,"indGigantiSSe","indGigantiSS","-","ingigantiamo",8,"indGigantiamo","indGigant","-","ingigantisca",15,"indGigantiska","indGigantisk","k",1,0
"154","ingrandire","ingrandisco",23,"ingrandisko","ingrandisk","ingrand","k","ire","ingrand","-","ingrandisce",492,"ingrandiSSe","ingrandiSS","-","ingrandiamo",33,"ingrandiamo","ingrand","-","ingrandisca",35,"ingrandiska","ingrandisk","k",1,0
"155","inibire","inibisco",7,"inibisko","inibisk","inib","k","ire","inib","-","inibisce",1713,"inibiSSe","inibiSS","-","inibiamo",5,"inibiamo","inib","-","inibisca",136,"inibiska","inibisk","k",1,0
"156","innervosire","innervosisco",107,"innervosisko","innervosisk","innervos","k","ire","innervos","-","innervosisce",413,"innervosiSSe","innervosiSS","-","innervosiamo",6,"innervosiamo","innervos","-","innervosisca",18,"innervosiska","innervosisk","k",1,0
"157","inorgoglire","inorgoglisco",5,"inorgoLLsko","inorgoLLsk","inorgoLLsk","k","ire","inorgoL","-","inorgoglisce",287,"inorgoLLSSe","inorgoLLSS","-","inorgogliamo",4,"inorgoLLamo","inorgoL","-","inorgoglisca",36,"inorgoLLska","inorgoLLsk","k",1,0
"158","inorridire","inorridisco",122,"inorridisko","inorridisk","inorrid","k","ire","inorrid","-","inorridisce",216,"inorridiSSe","inorridiSS","-","inorridiamo",48,"inorridiamo","inorrid","-","inorridisca",28,"inorridiska","inorridisk","k",1,0
"159","insaporire","insaporisco",4,"insaporisko","insaporisk","insapor","k","ire","insapor","-","insaporisce",57,"insaporiSSe","insaporiSS","-","insaporiamo",5,"insaporiamo","insapor","-","insaporisca",58,"insaporiska","insaporisk","k",1,0
"160","inseguire","inseguo",321,"inseguo","insegu","insegu","-","ire","insegu","-","insegue",3808,"insegue","insegu","-","inseguiamo",195,"inseguiamo","insegu","-","insegua",148,"insegua","insegu","-",0,1
"161","inserire","inserisco",2627,"inserisko","inserisk","inser","k","ire","inser","-","inserisce",23221,"inseriSSe","inseriSS","-","inseriamo",1621,"inseriamo","inser","-","inserisca",1349,"inseriska","inserisk","k",1,0
"162","intenerire","intenerisco",20,"intenerisko","intenerisk","intener","k","ire","intener","-","intenerisce",224,"inteneriSSe","inteneriSS","-","inteneriamo",3,"inteneriamo","intener","-","intenerisca",13,"inteneriska","intenerisk","k",1,0
"163","interagire","interagisco",59,"interadGisko","interadGisk","interadG","k","ire","interadG","dG","interagisce",2767,"interadGiSSe","interadGiSS","-","interagiamo",136,"interadGamo","interadG","dG","interagisca",202,"interadGiska","interadGisk","k",1,0
"164","interferire","interferisco",16,"interferisko","interferisk","interfer","k","ire","interfer","-","interferisce",1626,"interferiSSe","interferiSS","-","interferiamo",31,"interferiamo","interfer","-","interferisca",582,"interferiska","interferisk","k",1,0
"165","interloquire","interloquisco",15,"interloquisko","interloquisk","interloqu","k","ire","interloqu","-","interloquisce",152,"interloquiSSe","interloquiSS","-","interloquiamo",24,"interloquiamo","interloqu","-","interloquisca",26,"interloquiska","interloquisk","k",1,0
"166","intervenire","intervengo",4142,"intervengo","interveng","interveng","ng","ire","interven","-","interviene",30461,"interviene","intervien","-","interveniamo",587,"interveniamo","interven","-","intervenga",5752,"intervenga","interveng","ng",1,0
"167","intestardire","intestardisco",22,"intestardisko","intestardisk","intestard","k","ire","intestard","-","intestardisce",96,"intestardiSSe","intestardiSS","-","intestardiamo",11,"intestardiamo","intestard","-","intestardisca",5,"intestardiska","intestardisk","k",1,0
"168","intimidire","intimidisco",14,"intimidisko","intimidisk","intimid","k","ire","intimid","-","intimidisce",174,"intimidiSSe","intimidiSS","-","intimidiamo",4,"intimidiamo","intimid","-","intimidisca",10,"intimidiska","intimidisk","k",1,0
"169","intristire","intristisco",44,"intristisko","intristisk","intrist","k","ire","intrist","-","intristisce",304,"intristiSSe","intristiSS","-","intristiamo",7,"intristiamo","intrist","-","intristisca",8,"intristiska","intristisk","k",1,0
"170","intuire","intuisco",420,"intuisko","intuisk","intu","k","ire","intu","-","intuisce",3718,"intuiSSe","intuiSS","-","intuiamo",219,"intuiamo","intu","-","intuisca",63,"intuiska","intuisk","k",1,0
"171","inveire","inveisco",13,"inveisko","inveisk","inve","k","ire","inve","-","inveisce",335,"inveiSSe","inveiSS","-","inveiamo",5,"inveiamo","inve","-","inveisca",20,"inveiska","inveisk","k",1,0
"172","invertire","inverto",45,"inverto","invert","invert","-","ire","invert","-","inverte",1075,"inverte","invert","-","invertiamo",83,"invertiamo","invert","-","inverta",176,"inverta","invert","-",0,1
"173","investire","investo",225,"investo","invest","invest","-","ire","invest","-","investe",13719,"investe","invest","-","investiamo",423,"investiamo","invest","-","investa",1167,"investa","invest","-",0,1
"174","irrigidire","irrigidisco",48,"irridGidisko","irridGidisk","irridGid","k","ire","irridGid","-","irrigidisce",591,"irridGidiSSe","irridGidiSS","-","irrigidiamo",7,"irridGidiamo","irridGid","-","irrigidisca",40,"irridGidiska","irridGidisk","k",1,0
"175","istituire","istituisco",22,"istituisko","istituisk","istitu","k","ire","istitu","-","istituisce",16401,"istituiSSe","istituiSS","-","istituiamo",46,"istituiamo","istitu","-","istituisca",556,"istituiska","istituisk","k",1,0
"176","istruire","istruisco",27,"istruisko","istruisk","istru","k","ire","istru","-","istruisce",1075,"istruiSSe","istruiSS","-","istruiamo",23,"istruiamo","istru","-","istruisca",94,"istruiska","istruisk","k",1,0
"177","lambire","lambisco",6,"lambisko","lambisk","lamb","k","ire","lamb","-","lambisce",818,"lambiSSe","lambiSS","-","lambiamo",4,"lambiamo","lamb","-","lambisca",22,"lambiska","lambisk","k",1,0
"178","maledire","maledico",252,"malediko","maledik","maledik","k","ire","maled","-","maledice",444,"maleditSe","maleditS","tS","malediciamo",30,"maleditSamo","maled","-","maledica",121,"maledika","maledik","k",1,0
"179","marcire","marcisco",3,"martSisko","martSisk","martS","k","ire","martS","tS","marcisce",268,"martSiSSe","martSiSS","-","marciamo",105,"martSamo","martS","tS","marcisca",44,"martSiska","martSisk","k",1,0
"180","mentire","mento",1827,"mento","ment","ment","-","ire","ment","-","mente",539,"mente","ment","-","mentiamo",73,"mentiamo","ment","-","menta",366,"menta","ment","-",0,1
"182","morire","muoio",1464,"muoio","muoi","muoi","-","ire","mor","-","muore",32796,"muore","muor","-","moriamo",639,"moriamo","mor","-","muoia",2365,"muoia","muoi","-",1,0
"190","munire","munisco",8,"munisko","munisk","mun","k","ire","mun","-","munisce",94,"muniSSe","muniSS","-","muniamo",13,"muniamo","mun","-","munisca",43,"muniska","munisk","k",1,0
"191","nutrire","nutro",1932,"nutro","nutr","nutr","-","ire","nutr","-","nutre",8722,"nutre","nutr","-","nutriamo",838,"nutriamo","nutr","-","nutra",480,"nutra","nutr","-",0,1
"192","obbedire","obbedisco",247,"obbedisko","obbedisk","obbed","k","ire","obbed","-","obbedisce",1858,"obbediSSe","obbediSS","-","obbediamo",103,"obbediamo","obbed","-","obbedisca",215,"obbediska","obbedisk","k",1,0
"193","offrire","offro",3210,"offro","offr","offr","-","ire","offr","-","offre",123363,"offre","offr","-","offriamo",3482,"offriamo","offr","-","offra",4226,"offra","offr","-",0,1
"194","partire","parto",5871,"parto","part","part","-","ire","part","-","parte",895,"parte","part","-","partiamo",5968,"partiamo","part","-","parta",3371,"parta","part","-",0,1
"195","partorire","partorisco",56,"partorisko","partorisk","partor","k","ire","partor","-","partorisce",1296,"partoriSSe","partoriSS","-","partoriamo",20,"partoriamo","partor","-","partorisca",109,"partoriska","partorisk","k",1,0
"196","patire","patisco",117,"patisko","patisk","pat","k","ire","pat","-","patisce",994,"patiSSe","patiSS","-","patiamo",55,"patiamo","pat","-","patisca",99,"patiska","patisk","k",1,0
"197","pentire","pento",1136,"pento","pent","pent","-","ire","pent","-","pente",923,"pente","pent","-","pentiamo",67,"pentiamo","pent","-","penta",216,"penta","pent","-",0,1
"198","percepire","percepisco",1195,"pertSepisko","pertSepisk","pertSep","k","ire","pertSep","-","percepisce",8835,"pertSepiSSe","pertSepiSS","-","percepiamo",1799,"pertSepiamo","pertSep","-","percepisca",971,"pertSepiska","pertSepisk","k",1,0
"199","perire","perisco",9,"perisko","perisk","per","k","ire","per","-","perisce",554,"periSSe","periSS","-","periamo",36,"periamo","per","-","perisca",246,"periska","perisk","k",1,0
"200","perquisire","perquisisco",9,"perquisisko","perquisisk","perquis","k","ire","perquis","-","perquisisce",140,"perquisiSSe","perquisiSS","-","perquisiamo",44,"perquisiamo","perquis","-","perquisisca",9,"perquisiska","perquisisk","k",1,0
"201","perseguire","perseguo",112,"perseguo","persegu","persegu","-","ire","persegu","-","persegue",8951,"persegue","persegu","-","perseguiamo",337,"perseguiamo","persegu","-","persegua",867,"persegua","persegu","-",0,1
"202","pervenire","pervengo",21,"pervengo","perveng","perveng","ng","ire","perven","-","perviene",3489,"perviene","pervien","-","perveniamo",67,"perveniamo","perven","-","pervenga",1482,"pervenga","perveng","ng",1,0
"203","plaudire","plaudo",91,"plaudo","plaud","plaud","-","ire","plaud","-","plaude",981,"plaude","plaud","-","plaudiamo",41,"plaudiamo","plaud","-","plauda",23,"plauda","plaud","-",0,1
"204","predire","predico",220,"prediko","predik","predik","k","ire","pred","-","predice",600,"preditSe","preditS","tS","prediciamo",7,"preditSamo","pred","-","predica",2906,"predika","predik","k",1,0
"205","preferire","preferisco",18421,"preferisko","preferisk","prefer","k","ire","prefer","-","preferisce",19835,"preferiSSe","preferiSS","-","preferiamo",2942,"preferiamo","prefer","-","preferisca",1271,"preferiska","preferisk","k",1,0
"206","premunire","premunisco",7,"premunisko","premunisk","premun","k","ire","premun","-","premunisce",50,"premuniSSe","premuniSS","-","premuniamo",4,"premuniamo","premun","-","premunisca",18,"premuniska","premunisk","k",1,0
"207","prevenire","prevengo",78,"prevengo","preveng","preveng","ng","ire","preven","-","previene",1883,"previene","previen","-","preveniamo",38,"preveniamo","preven","-","prevenga",283,"prevenga","preveng","ng",1,0
"208","proferire","proferisco",20,"proferisko","proferisk","profer","k","ire","profer","-","proferisce",213,"proferiSSe","proferiSS","-","proferiamo",24,"proferiamo","profer","-","proferisca",31,"proferiska","proferisk","k",1,0
"209","progredire","progredisco",8,"progredisko","progredisk","progred","k","ire","progred","-","progredisce",1084,"progrediSSe","progrediSS","-","progrediamo",58,"progrediamo","progred","-","progredisca",138,"progrediska","progredisk","k",1,0
"210","proibire","proibisco",152,"proibisko","proibisk","proib","k","ire","proib","-","proibisce",3086,"proibiSSe","proibiSS","-","proibiamo",45,"proibiamo","proib","-","proibisca",278,"proibiska","proibisk","k",1,0
"211","proseguire","proseguo",1596,"proseguo","prosegu","prosegu","-","ire","prosegu","-","prosegue",55427,"prosegue","prosegu","-","proseguiamo",1710,"proseguiamo","prosegu","-","prosegua",1939,"prosegua","prosegu","-",0,1
"212","prostituire","prostituisco",20,"prostituisko","prostituisk","prostitu","k","ire","prostitu","-","prostituisce",302,"prostituiSSe","prostituiSS","-","prostituiamo",6,"prostituiamo","prostitu","-","prostituisca",11,"prostituiska","prostituisk","k",1,0
"213","provenire","provengo",598,"provengo","proveng","proveng","ng","ire","proven","-","proviene",18308,"proviene","provien","-","proveniamo",271,"proveniamo","proven","-","provenga",2283,"provenga","proveng","ng",1,0
"214","pulire","pulisco",407,"pulisko","pulisk","pul","k","ire","pul","-","pulisce",1354,"puliSSe","puliSS","-","puliamo",148,"puliamo","pul","-","pulisca",92,"puliska","pulisk","k",1,0
"215","punire","punisco",65,"punisko","punisk","pun","k","ire","pun","-","punisce",3435,"puniSSe","puniSS","-","puniamo",103,"puniamo","pun","-","punisca",332,"puniska","punisk","k",1,0
"216","putire","puto",157,"puto","put","put","-","ire","put","-","pute",65,"pute","put","-","putiamo",3,"putiamo","put","-","puta",437,"puta","put","-",0,1
"217","rabbrividire","rabbrividisco",222,"rabbrividisko","rabbrividisk","rabbrivid","k","ire","rabbrivid","-","rabbrividisce",164,"rabbrividiSSe","rabbrividiSS","-","rabbrividiamo",27,"rabbrividiamo","rabbrivid","-","rabbrividisca",4,"rabbrividiska","rabbrividisk","k",1,0
"218","rapire","rapisco",23,"rapisko","rapisk","rap","k","ire","rap","-","rapisce",1320,"rapiSSe","rapiSS","-","rapiamo",20,"rapiamo","rap","-","rapisca",67,"rapiska","rapisk","k",1,0
"219","reagire","reagisco",263,"readGisko","readGisk","readG","k","ire","readG","dG","reagisce",6269,"readGiSSe","readGiSS","-","reagiamo",264,"readGamo","readG","dG","reagisca",408,"readGiska","readGisk","k",1,0
"220","recensire","recensisco",88,"retSensisko","retSensisk","retSens","k","ire","retSens","-","recensisce",5721,"retSensiSSe","retSensiSS","-","recensiamo",47,"retSensiamo","retSens","-","recensisca",13,"retSensiska","retSensisk","k",1,0
"221","recepire","recepisco",46,"retSepisko","retSepisk","retSep","k","ire","retSep","-","recepisce",4731,"retSepiSSe","retSepiSS","-","recepiamo",57,"retSepiamo","retSep","-","recepisca",627,"retSepiska","retSepisk","k",1,0
"222","regredire","regredisco",7,"regredisko","regredisk","regred","k","ire","regred","-","regredisce",440,"regrediSSe","regrediSS","-","regrediamo",16,"regrediamo","regred","-","regredisca",53,"regrediska","regredisk","k",1,0
"223","reinserire","reinserisco",23,"reinserisko","reinserisk","reinser","k","ire","reinser","-","reinserisce",69,"reinseriSSe","reinseriSS","-","reinseriamo",23,"reinseriamo","reinser","-","reinserisca",10,"reinseriska","reinserisk","k",1,0
"224","reperire","reperisco",17,"reperisko","reperisk","reper","k","ire","reper","-","reperisce",162,"reperiSSe","reperiSS","-","reperiamo",89,"reperiamo","reper","-","reperisca",45,"reperiska","reperisk","k",1,0
"225","restituire","restituisco",342,"restituisko","restituisk","restitu","k","ire","restitu","-","restituisce",9165,"restituiSSe","restituiSS","-","restituiamo",200,"restituiamo","restitu","-","restituisca",1275,"restituiska","restituisk","k",1,0
"226","riaprire","riapro",300,"riapro","riapr","riapr","-","ire","riapr","-","riapre",4284,"riapre","riapr","-","riapriamo",139,"riapriamo","riapr","-","riapra",365,"riapra","riapr","-",0,1
"227","ribadire","ribadisco",6066,"ribadisko","ribadisk","ribad","k","ire","ribad","-","ribadisce",24949,"ribadiSSe","ribadiSS","-","ribadiamo",2072,"ribadiamo","ribad","-","ribadisca",315,"ribadiska","ribadisk","k",1,0
"228","ricoprire","ricopro",289,"rikopro","rikopr","rikopr","-","ire","rikopr","-","ricopre",7341,"rikopre","rikopr","-","ricopriamo",72,"rikopriamo","rikopr","-","ricopra",450,"rikopra","rikopr","-",0,1
"229","ricostruire","ricostruisco",72,"rikostruisko","rikostruisk","rikostru","k","ire","rikostru","-","ricostruisce",5157,"rikostruiSSe","rikostruiSS","-","ricostruiamo",209,"rikostruiamo","rikostru","-","ricostruisca",221,"rikostruiska","rikostruisk","k",1,0
"230","ricucire","ricucio",12,"rikutSo","rikutS","rikutS","tS","ire","rikutS","tS","ricuce",279,"rikutSe","rikutS","tS","ricuciamo",9,"rikutSamo","rikutS","tS","ricucia",7,"rikutSa","rikutS","tS",0,1
"231","ridefinire","ridefinisco",5,"ridefinisko","ridefinisk","ridefin","k","ire","ridefin","-","ridefinisce",1106,"ridefiniSSe","ridefiniSS","-","ridefiniamo",15,"ridefiniamo","ridefin","-","ridefinisca",152,"ridefiniska","ridefinisk","k",1,0
"232","ridire","ridico",170,"ridiko","ridik","ridik","k","ire","rid","-","ridice",80,"riditSe","riditS","tS","ridiciamo",4,"riditSamo","rid","-","ridica",42,"ridika","ridik","k",1,0
"233","ridistribuire","ridistribuisco",3,"ridistribuisko","ridistribuisk","ridistribu","k","ire","ridistribu","-","ridistribuisce",224,"ridistribuiSSe","ridistribuiSS","-","ridistribuiamo",8,"ridistribuiamo","ridistribu","-","ridistribuisca",36,"ridistribuiska","ridistribuisk","k",1,0
"234","riempire","riempio",471,"riempio","riempi","riempi","-","ire","riemp","-","riempe",340,"riempe","riemp","-","riempiamo",545,"riempiamo","riemp","-","riempia",590,"riempia","riempi","-",1,0
"235","riferire","riferisco",20621,"riferisko","riferisk","rifer","k","ire","rifer","-","riferisce",60014,"riferiSSe","riferiSS","-","riferiamo",3746,"riferiamo","rifer","-","riferisca",3692,"riferiska","riferisk","k",1,0
"236","rifornire","rifornisco",84,"rifornisko","rifornisk","riforn","k","ire","riforn","-","rifornisce",651,"riforniSSe","riforniSS","-","riforniamo",51,"riforniamo","riforn","-","rifornisca",33,"riforniska","rifornisk","k",1,0
"237","rifuggire","rifuggo",108,"rifuggo","rifugg","rifugg","g","ire","rifuddG","dG","rifugge",1070,"rifuddGe","rifuddG","dG","rifuggiamo",61,"rifuddGamo","rifuddG","dG","rifugga",115,"rifugga","rifugg","g",1,0
"238","rinvenire","rinvengo",29,"rinvengo","rinveng","rinveng","ng","ire","rinven","-","rinviene",1797,"rinviene","rinvien","-","rinveniamo",125,"rinveniamo","rinven","-","rinvenga",115,"rinvenga","rinveng","ng",1,0
"239","ripartire","riparto",13757,"riparto","ripart","ripart","-","ire","ripart","-","ripartisce",1320,"ripartiSSe","ripartiSS","-","ripartiamo",973,"ripartiamo","ripart","-","ripartisca",100,"ripartiska","ripartisk","k",0,1
"240","ripartire","riparto",13757,"riparto","ripart","ripart","-","ire","ripart","-","ripartisce",1320,"ripartiSSe","ripartiSS","-","ripartiamo",973,"ripartiamo","ripart","-","riparta",349,"riparta","ripart","-",1,1
"241","ripartire","riparto",13757,"riparto","ripart","ripart","-","ire","ripart","-","riparte",7899,"riparte","ripart","-","ripartiamo",973,"ripartiamo","ripart","-","ripartisca",100,"ripartiska","ripartisk","k",0,1
"242","ripartire","riparto",13757,"riparto","ripart","ripart","-","ire","ripart","-","riparte",7899,"riparte","ripart","-","ripartiamo",973,"ripartiamo","ripart","-","riparta",349,"riparta","ripart","-",0,1
"243","ripartire","ripartisco",3,"ripartisko","ripartisk","ripart","k","ire","ripart","-","riparte",7899,"riparte","ripart","-","ripartiamo",973,"ripartiamo","ripart","-","ripartisca",100,"ripartiska","ripartisk","k",1,0
"244","ripartire","ripartisco",3,"ripartisko","ripartisk","ripart","k","ire","ripart","-","riparte",7899,"riparte","ripart","-","ripartiamo",973,"ripartiamo","ripart","-","riparta",349,"riparta","ripart","-",0,0
"245","ripartire","ripartisco",3,"ripartisko","ripartisk","ripart","k","ire","ripart","-","ripartisce",1320,"ripartiSSe","ripartiSS","-","ripartiamo",973,"ripartiamo","ripart","-","ripartisca",100,"ripartiska","ripartisk","k",1,0
"246","ripartire","ripartisco",3,"ripartisko","ripartisk","ripart","k","ire","ripart","-","ripartisce",1320,"ripartiSSe","ripartiSS","-","ripartiamo",973,"ripartiamo","ripart","-","riparta",349,"riparta","ripart","-",0,0
"247","ripulire","ripulisco",26,"ripulisko","ripulisk","ripul","k","ire","ripul","-","ripulisce",303,"ripuliSSe","ripuliSS","-","ripuliamo",28,"ripuliamo","ripul","-","ripulisca",50,"ripuliska","ripulisk","k",1,0
"248","risalire","risalgo",246,"risalgo","risalg","risalg","lg","ire","risal","-","risale",25982,"risale","risal","-","risaliamo",411,"risaliamo","risal","-","risalga",958,"risalga","risalg","lg",1,0
"249","risarcire","risarcisco",3,"risartSisko","risartSisk","risartS","k","ire","risartS","tS","risarcisce",255,"risartSiSSe","risartSiSS","-","risarciamo",6,"risartSamo","risartS","tS","risarcisca",107,"risartSiska","risartSisk","k",1,0
"250","riscoprire","riscopro",175,"riskopro","riskopr","riskopr","-","ire","riskopr","-","riscopre",1805,"riskopre","riskopr","-","riscopriamo",217,"riskopriamo","riskopr","-","riscopra",205,"riskopra","riskopr","-",0,1
"251","risentire","risento",268,"risento","risent","risent","-","ire","risent","-","risente",6504,"risente","risent","-","risentiamo",693,"risentiamo","risent","-","risenta",549,"risenta","risent","-",0,1
"252","rispedire","rispedisco",111,"rispedisko","rispedisk","risped","k","ire","risped","-","rispedisce",319,"rispediSSe","rispediSS","-","rispediamo",63,"rispediamo","risped","-","rispedisca",31,"rispediska","rispedisk","k",1,0
"253","ristabilire","ristabilisco",6,"ristabilisko","ristabilisk","ristabil","k","ire","ristabil","-","ristabilisce",661,"ristabiliSSe","ristabiliSS","-","ristabiliamo",20,"ristabiliamo","ristabil","-","ristabilisca",232,"ristabiliska","ristabilisk","k",1,0
"254","riunire","riunisco",44,"riunisko","riunisk","riun","k","ire","riun","-","riunisce",16680,"riuniSSe","riuniSS","-","riuniamo",326,"riuniamo","riun","-","riunisca",750,"riuniska","riunisk","k",1,0
"255","riuscire","riesco",49569,"riesko","riesk","riesk","k","ire","riuSS","-","riesce",120456,"rieSSe","rieSS","-","riusciamo",14671,"riuSSamo","riuSS","-","riesca",16224,"rieska","riesk","k",1,0
"256","riverire","riverisco",90,"riverisko","riverisk","river","k","ire","river","-","riverisce",72,"riveriSSe","riveriSS","-","riveriamo",3,"riveriamo","river","-","riverisca",3,"riveriska","riverisk","k",1,0
"257","rivestire","rivesto",235,"rivesto","rivest","rivest","-","ire","rivest","-","riveste",14710,"riveste","rivest","-","rivestiamo",78,"rivestiamo","rivest","-","rivesta",1090,"rivesta","rivest","-",0,1
"258","salire","salgo",1725,"salgo","salg","salg","lg","ire","sal","-","sale",49514,"sale","sal","-","saliamo",1395,"saliamo","sal","-","salga",869,"salga","salg","lg",1,0
"259","sancire","sancisco",8,"santSisko","santSisk","santS","k","ire","santS","tS","sancisce",7681,"santSiSSe","santSiSS","-","sanciamo",14,"santSamo","santS","tS","sancisca",605,"santSiska","santSisk","k",1,0
"260","sbiadire","sbiadisco",7,"sbiadisko","sbiadisk","sbiad","k","ire","sbiad","-","sbiadisce",228,"sbiadiSSe","sbiadiSS","-","sbiadiamo",3,"sbiadiamo","sbiad","-","sbiadisca",28,"sbiadiska","sbiadisk","k",1,0
"261","sbizzarrire","sbizzarrisco",27,"sbizzarrisko","sbizzarrisk","sbizzarr","k","ire","sbizzarr","-","sbizzarrisce",130,"sbizzarriSSe","sbizzarriSS","-","sbizzarriamo",7,"sbizzarriamo","sbizzarr","-","sbizzarrisca",5,"sbizzarriska","sbizzarrisk","k",1,0
"262","scandire","scandisco",31,"skandisko","skandisk","skand","k","ire","skand","-","scandisce",2257,"skandiSSe","skandiSS","-","scandiamo",16,"skandiamo","skand","-","scandisca",50,"skandiska","skandisk","k",1,0
"263","scomparire","scompaio",74,"skompaio","skompai","skompai","-","ire","skompar","-","scompare",8812,"skompare","skompar","-","scompariamo",19,"skompariamo","skompar","-","scompaia",696,"skompaia","skompai","-",1,0
"265","scoprire","scopro",3920,"skopro","skopr","skopr","-","ire","skopr","-","scopre",26139,"skopre","skopr","-","scopriamo",5244,"skopriamo","skopr","-","scopra",927,"skopra","skopr","-",0,1
"266","seguire","seguo",6628,"seguo","segu","segu","-","ire","segu","-","segue",99705,"segue","segu","-","seguiamo",2784,"seguiamo","segu","-","segua",4309,"segua","segu","-",0,1
"267","sentire","sento",73415,"sento","sent","sent","-","ire","sent","-","sente",65357,"sente","sent","-","sentiamo",18856,"sentiamo","sent","-","senta",6702,"senta","sent","-",0,1
"269","seppellire","seppellisco",40,"seppellisko","seppellisk","seppell","k","ire","seppell","-","seppellisce",352,"seppelliSSe","seppelliSS","-","seppelliamo",40,"seppelliamo","seppell","-","seppellisca",37,"seppelliska","seppellisk","k",1,0
"270","servire","servo",2296,"servo","serv","serv","-","ire","serv","-","serve",106833,"serve","serv","-","serviamo",841,"serviamo","serv","-","serva",11434,"serva","serv","-",0,1
"271","sfuggire","sfuggo",99,"sfuggo","sfugg","sfugg","g","ire","sfuddG","dG","sfugge",11957,"sfuddGe","sfuddG","dG","sfuggiamo",34,"sfuddGamo","sfuddG","dG","sfugga",1027,"sfugga","sfugg","g",1,0
"272","smaltire","smaltisco",62,"smaltisko","smaltisk","smalt","k","ire","smalt","-","smaltisce",193,"smaltiSSe","smaltiSS","-","smaltiamo",37,"smaltiamo","smalt","-","smaltisca",19,"smaltiska","smaltisk","k",1,0
"273","smarrire","smarrisco",57,"smarrisko","smarrisk","smarr","k","ire","smarr","-","smarrisce",829,"smarriSSe","smarriSS","-","smarriamo",41,"smarriamo","smarr","-","smarrisca",155,"smarriska","smarrisk","k",1,0
"274","smentire","smentisco",212,"smentisko","smentisk","sment","k","ire","sment","-","smentisce",5122,"smentiSSe","smentiSS","-","smentiamo",46,"smentiamo","sment","-","smentisca",358,"smentiska","smentisk","k",1,0
"275","sminuire","sminuisco",59,"sminuisko","sminuisk","sminu","k","ire","sminu","-","sminuisce",601,"sminuiSSe","sminuiSS","-","sminuiamo",12,"sminuiamo","sminu","-","sminuisca",68,"sminuiska","sminuisk","k",1,0
