"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"25","abbottonare","abbottono","abbottono","abbotton","-","are","abbotton","-","abbottona","abbottona","abbotton","-","abbottoniamo","abbottoniamo","abbotton","-","abbottoni","abbottoni","abbotton","-",0,1,"-"
"26","abbozzare","abbozzo","abbozzo","abbozz","-","are","abbozz","-","abbozza","abbozza","abbozz","-","abbozziamo","abbozziamo","abbozz","-","abbozzi","abbozzi","abbozz","-",0,1,"-"
"27","abbracciare","abbraccio","abbrattSo","abbrattS","tS","are","abbrattS","tS","abbraccia","abbrattSa","abbrattS","tS","abbracciamo","abbrattSamo","abbrattS","tS","abbracci","abbrattSi","abbrattS","tS",0,1,"-"
"28","abbrancare","abbranco","abbranko","abbrank","k","are","abbrank","k","abbranca","abbranka","abbrank","k","abbranchiamo","abbrankiamo","abbrank","k","abbranchi","abbranki","abbrank","k",0,1,"-"
"29","abbreviare","abbrevio","abbrevio","abbrevi","-","are","abbrevi","-","abbrevia","abbrevia","abbrevi","-","abbreviamo","abbreviamo","abbrevi","-","abbrevi","abbrevi","abbrev","-",0,1,"-"
"30","abbronzare","abbronzo","abbronzo","abbronz","-","are","abbronz","-","abbronza","abbronza","abbronz","-","abbronziamo","abbronziamo","abbronz","-","abbronzi","abbronzi","abbronz","-",0,1,"-"
"31","abbrunare","abbruno","abbruno","abbrun","-","are","abbrun","-","abbruna","abbruna","abbrun","-","abbruniamo","abbruniamo","abbrun","-","abbruni","abbruni","abbrun","-",0,1,"-"
"32","abbuffare","abbuffo","abbuffo","abbuff","-","are","abbuff","-","abbuffa","abbuffa","abbuff","-","abbuffiamo","abbuffiamo","abbuff","-","abbuffi","abbuffi","abbuff","-",0,1,"-"
"33","abbuiare","abbuio","abbuio","abbui","-","are","abbui","-","abbuia","abbuia","abbui","-","abbuiamo","abbuiamo","abbui","-","abbui","abbui","abbu","-",0,1,"-"
"34","abbuonare","abbuono","abbuono","abbuon","-","are","abbuon","-","abbuona","abbuona","abbuon","-","abbuoniamo","abbuoniamo","abbuon","-","abbuoni","abbuoni","abbuon","-",0,1,"-"
"35","abburattare","abburatto","abburatto","abburatt","-","are","abburatt","-","abburatta","abburatta","abburatt","-","abburattiamo","abburattiamo","abburatt","-","abburatti","abburatti","abburatt","-",0,1,"-"
"36","abdicare","abdico","abdiko","abdik","k","are","abdik","k","abdica","abdika","abdik","k","abdichiamo","abdikiamo","abdik","k","abdichi","abdiki","abdik","k",0,1,"-"
"37","aberrare","aberro","aberro","aberr","-","are","aberr","-","aberra","aberra","aberr","-","aberriamo","aberriamo","aberr","-","aberri","aberri","aberr","-",0,1,"-"
"38","abilitare","abilito","abilito","abilit","-","are","abilit","-","abilita","abilita","abilit","-","abilitiamo","abilitiamo","abilit","-","abiliti","abiliti","abilit","-",0,1,"-"
"39","abitare","abito","abito","abit","-","are","abit","-","abita","abita","abit","-","abitiamo","abitiamo","abit","-","abiti","abiti","abit","-",0,1,"-"
"40","abituare","abituo","abituo","abitu","-","are","abitu","-","abitua","abitua","abitu","-","abituiamo","abituiamo","abitu","-","abitui","abitui","abitu","-",0,1,"-"
"41","abiurare","abiuro","abiuro","abiur","-","are","abiur","-","abiura","abiura","abiur","-","abiuriamo","abiuriamo","abiur","-","abiuri","abiuri","abiur","-",0,1,"-"
"42","abominare","abomino","abomino","abomin","-","are","abomin","-","abomina","abomina","abomin","-","abominiamo","abominiamo","abomin","-","abomini","abomini","abomin","-",0,1,"-"
"43","abrogare","abrogo","abrogo","abrog","g","are","abrog","g","abroga","abroga","abrog","g","abroghiamo","abrogiamo","abrog","g","abroghi","abrogi","abrog","g",0,1,"-"
"44","abusare","abuso","abuso","abus","-","are","abus","-","abusa","abusa","abus","-","abusiamo","abusiamo","abus","-","abusi","abusi","abus","-",0,1,"-"
"45","accalappiare","accalappio","akkalappio","akkalappi","-","are","akkalappi","-","accalappia","akkalappia","akkalappi","-","accalappiamo","akkalappiamo","akkalappi","-","accalappi","akkalappi","akkalapp","-",0,1,"-"
"46","accalcare","accalco","akkalko","akkalk","k","are","akkalk","k","accalca","akkalka","akkalk","k","accalchiamo","akkalkiamo","akkalk","k","accalchi","akkalki","akkalk","k",0,1,"-"
"47","accaldare","accaldo","akkaldo","akkald","-","are","akkald","-","accalda","akkalda","akkald","-","accaldiamo","akkaldiamo","akkald","-","accaldi","akkaldi","akkald","-",0,1,"-"
"48","accalorare","accaloro","akkaloro","akkalor","-","are","akkalor","-","accalora","akkalora","akkalor","-","accaloriamo","akkaloriamo","akkalor","-","accalori","akkalori","akkalor","-",0,1,"-"
"49","accampare","accampo","akkampo","akkamp","-","are","akkamp","-","accampa","akkampa","akkamp","-","accampiamo","akkampiamo","akkamp","-","accampi","akkampi","akkamp","-",0,1,"-"
"50","accanare","accano","akkano","akkan","-","are","akkan","-","accana","akkana","akkan","-","accaniamo","akkaniamo","akkan","-","accani","akkani","akkan","-",0,1,"-"
"51","accantonare","accantono","akkantono","akkanton","-","are","akkanton","-","accantona","akkantona","akkanton","-","accantoniamo","akkantoniamo","akkanton","-","accantoni","akkantoni","akkanton","-",0,1,"-"
"52","accaparrare","accaparro","akkaparro","akkaparr","-","are","akkaparr","-","accaparra","akkaparra","akkaparr","-","accaparriamo","akkaparriamo","akkaparr","-","accaparri","akkaparri","akkaparr","-",0,1,"-"
"53","accapigliare","accapiglio","akkapiLLo","akkapiLL","LL","are","akkapiLL","LL","accapiglia","akkapiLLa","akkapiLL","LL","accapigliamo","akkapiLLamo","akkapiLL","LL","accapigli","akkapiLLi","akkapiLL","LL",0,1,"-"
"54","accapponare","accappono","akkappono","akkappon","-","are","akkappon","-","accappona","akkappona","akkappon","-","accapponiamo","akkapponiamo","akkappon","-","accapponi","akkapponi","akkappon","-",0,1,"-"
"55","accarezzare","accarezzo","akkarezzo","akkarezz","-","are","akkarezz","-","accarezza","akkarezza","akkarezz","-","accarezziamo","akkarezziamo","akkarezz","-","accarezzi","akkarezzi","akkarezz","-",0,1,"-"
"56","accartocciare","accartoccio","akkartottSo","akkartottS","tS","are","akkartottS","tS","accartoccia","akkartottSa","akkartottS","tS","accartocciamo","akkartottSamo","akkartottS","tS","accartocci","akkartottSi","akkartottS","tS",0,1,"-"
"57","accasare","accaso","akkaso","akkas","-","are","akkas","-","accasa","akkasa","akkas","-","accasiamo","akkasiamo","akkas","-","accasi","akkasi","akkas","-",0,1,"-"
"58","accasciare","accascio","akkaSSo","akkaSS","-","are","akkaSS","-","accascia","akkaSSa","akkaSS","-","accasciamo","akkaSSamo","akkaSS","-","accasci","akkaSSi","akkaSS","-",0,1,"-"
"59","accasermare","accasermo","akkasermo","akkaserm","-","are","akkaserm","-","accaserma","akkaserma","akkaserm","-","accasermiamo","akkasermiamo","akkaserm","-","accasermi","akkasermi","akkaserm","-",0,1,"-"
"60","accatastare","accatasto","akkatasto","akkatast","-","are","akkatast","-","accatasta","akkatasta","akkatast","-","accatastiamo","akkatastiamo","akkatast","-","accatasti","akkatasti","akkatast","-",0,1,"-"
"61","accattare","accatto","akkatto","akkatt","-","are","akkatt","-","accatta","akkatta","akkatt","-","accattiamo","akkattiamo","akkatt","-","accatti","akkatti","akkatt","-",0,1,"-"
"62","accattivare","accattivo","akkattivo","akkattiv","-","are","akkattiv","-","accattiva","akkattiva","akkattiv","-","accattiviamo","akkattiviamo","akkattiv","-","accattivi","akkattivi","akkattiv","-",0,1,"-"
"63","accattonare","accattono","akkattono","akkatton","-","are","akkatton","-","accattona","akkattona","akkatton","-","accattoniamo","akkattoniamo","akkatton","-","accattoni","akkattoni","akkatton","-",0,1,"-"
"64","accavallare","accavallo","akkavallo","akkavall","-","are","akkavall","-","accavalla","akkavalla","akkavall","-","accavalliamo","akkavalliamo","akkavall","-","accavalli","akkavalli","akkavall","-",0,1,"-"
"65","accecare","acceco","attSeko","attSek","k","are","attSek","k","acceca","attSeka","attSek","k","accechiamo","attSekiamo","attSek","k","accechi","attSeki","attSek","k",0,1,"-"
"66","accelerare","accelero","attSelero","attSeler","-","are","attSeler","-","accelera","attSelera","attSeler","-","acceleriamo","attSeleriamo","attSeler","-","acceleri","attSeleri","attSeler","-",0,1,"-"
"67","accellerare","accellero","attSellero","attSeller","-","are","attSeller","-","accellera","attSellera","attSeller","-","accelleriamo","attSelleriamo","attSeller","-","accelleri","attSelleri","attSeller","-",0,1,"-"
"68","accennare","accenno","attSenno","attSenn","-","are","attSenn","-","accenna","attSenna","attSenn","-","accenniamo","attSenniamo","attSenn","-","accenni","attSenni","attSenn","-",0,1,"-"
"69","accentare","accento","attSento","attSent","-","are","attSent","-","accenta","attSenta","attSent","-","accentiamo","attSentiamo","attSent","-","accenti","attSenti","attSent","-",0,1,"-"
"70","accentrare","accentro","attSentro","attSentr","-","are","attSentr","-","accentra","attSentra","attSentr","-","accentriamo","attSentriamo","attSentr","-","accentri","attSentri","attSentr","-",0,1,"-"
"71","accentuare","accentuo","attSentuo","attSentu","-","are","attSentu","-","accentua","attSentua","attSentu","-","accentuiamo","attSentuiamo","attSentu","-","accentui","attSentui","attSentu","-",0,1,"-"
"72","accerchiare","accerchio","attSerkio","attSerki","-","are","attSerki","-","accerchia","attSerkia","attSerki","-","accerchiamo","attSerkiamo","attSerki","-","accerchi","attSerki","attSerk","k",0,1,"-"
"73","accertare","accerto","attSerto","attSert","-","are","attSert","-","accerta","attSerta","attSert","-","accertiamo","attSertiamo","attSert","-","accerti","attSerti","attSert","-",0,1,"-"
"74","accettare","accetto","attSetto","attSett","-","are","attSett","-","accetta","attSetta","attSett","-","accettiamo","attSettiamo","attSett","-","accetti","attSetti","attSett","-",0,1,"-"
"75","acchiappare","acchiappo","akkiappo","akkiapp","-","are","akkiapp","-","acchiappa","akkiappa","akkiapp","-","acchiappiamo","akkiappiamo","akkiapp","-","acchiappi","akkiappi","akkiapp","-",0,1,"-"
"76","acchitare","acchito","akkito","akkit","-","are","akkit","-","acchita","akkita","akkit","-","acchitiamo","akkitiamo","akkit","-","acchiti","akkiti","akkit","-",0,1,"-"
"77","acciaccare","acciacco","attSakko","attSakk","k","are","attSakk","k","acciacca","attSakka","attSakk","k","acciacchiamo","attSakkiamo","attSakk","k","acciacchi","attSakki","attSakk","k",0,1,"-"
"78","acciaiare","acciaio","attSaio","attSai","-","are","attSai","-","acciaia","attSaia","attSai","-","acciaiamo","attSaiamo","attSai","-","acciai","attSai","attSa","-",0,1,"-"
"79","acciambellare","acciambello","attSambello","attSambell","-","are","attSambell","-","acciambella","attSambella","attSambell","-","acciambelliamo","attSambelliamo","attSambell","-","acciambelli","attSambelli","attSambell","-",0,1,"-"
"80","accigliare","acciglio","attSiLLo","attSiLL","LL","are","attSiLL","LL","acciglia","attSiLLa","attSiLL","LL","accigliamo","attSiLLamo","attSiLL","LL","accigli","attSiLLi","attSiLL","LL",0,1,"-"
"81","acciottolare","acciottolo","attSottolo","attSottol","-","are","attSottol","-","acciottola","attSottola","attSottol","-","acciottoliamo","attSottoliamo","attSottol","-","acciottoli","attSottoli","attSottol","-",0,1,"-"
"82","acciuffare","acciuffo","attSuffo","attSuff","-","are","attSuff","-","acciuffa","attSuffa","attSuff","-","acciuffiamo","attSuffiamo","attSuff","-","acciuffi","attSuffi","attSuff","-",0,1,"-"
"83","acclamare","acclamo","akklamo","akklam","-","are","akklam","-","acclama","akklama","akklam","-","acclamiamo","akklamiamo","akklam","-","acclami","akklami","akklam","-",0,1,"-"
"84","acclimare","acclimo","akklimo","akklim","-","are","akklim","-","acclima","akklima","akklim","-","acclimiamo","akklimiamo","akklim","-","acclimi","akklimi","akklim","-",0,1,"-"
"85","acclimatare","acclimato","akklimato","akklimat","-","are","akklimat","-","acclimata","akklimata","akklimat","-","acclimatiamo","akklimatiamo","akklimat","-","acclimati","akklimati","akklimat","-",0,1,"-"
"86","accoccolare","accoccolo","akkokkolo","akkokkol","-","are","akkokkol","-","accoccola","akkokkola","akkokkol","-","accoccoliamo","akkokkoliamo","akkokkol","-","accoccoli","akkokkoli","akkokkol","-",0,1,"-"
"87","accodare","accodo","akkodo","akkod","-","are","akkod","-","accoda","akkoda","akkod","-","accodiamo","akkodiamo","akkod","-","accodi","akkodi","akkod","-",0,1,"-"
"88","accollare","accollo","akkollo","akkoll","-","are","akkoll","-","accolla","akkolla","akkoll","-","accolliamo","akkolliamo","akkoll","-","accolli","akkolli","akkoll","-",0,1,"-"
"89","accoltellare","accoltello","akkoltello","akkoltell","-","are","akkoltell","-","accoltella","akkoltella","akkoltell","-","accoltelliamo","akkoltelliamo","akkoltell","-","accoltelli","akkoltelli","akkoltell","-",0,1,"-"
"90","accomandare","accomando","akkomando","akkomand","-","are","akkomand","-","accomanda","akkomanda","akkomand","-","accomandiamo","akkomandiamo","akkomand","-","accomandi","akkomandi","akkomand","-",0,1,"-"
"91","accomiatare","accomiato","akkomiato","akkomiat","-","are","akkomiat","-","accomiata","akkomiata","akkomiat","-","accomiatiamo","akkomiatiamo","akkomiat","-","accomiati","akkomiati","akkomiat","-",0,1,"-"
"92","accomodare","accomodo","akkomodo","akkomod","-","are","akkomod","-","accomoda","akkomoda","akkomod","-","accomodiamo","akkomodiamo","akkomod","-","accomodi","akkomodi","akkomod","-",0,1,"-"
"93","accompagnare","accompagno","akkompaNNo","akkompaNN","NN","are","akkompaNN","NN","accompagna","akkompaNNa","akkompaNN","NN","accompagniamo","akkompaNNiamo","akkompaNN","NN","accompagni","akkompaNNi","akkompaNN","NN",0,1,"-"
"94","accomunare","accomuno","akkomuno","akkomun","-","are","akkomun","-","accomuna","akkomuna","akkomun","-","accomuniamo","akkomuniamo","akkomun","-","accomuni","akkomuni","akkomun","-",0,1,"-"
"95","acconciare","acconcio","akkontSo","akkontS","tS","are","akkontS","tS","acconcia","akkontSa","akkontS","tS","acconciamo","akkontSamo","akkontS","tS","acconci","akkontSi","akkontS","tS",0,1,"-"
"96","accontentare","accontento","akkontento","akkontent","-","are","akkontent","-","accontenta","akkontenta","akkontent","-","accontentiamo","akkontentiamo","akkontent","-","accontenti","akkontenti","akkontent","-",0,1,"-"
"97","accoppare","accoppo","akkoppo","akkopp","-","are","akkopp","-","accoppa","akkoppa","akkopp","-","accoppiamo","akkoppiamo","akkopp","-","accoppi","akkoppi","akkopp","-",0,1,"-"
"98","accoppiare","accoppio","akkoppio","akkoppi","-","are","akkoppi","-","accoppia","akkoppia","akkoppi","-","accoppiamo","akkoppiamo","akkoppi","-","accoppi","akkoppi","akkopp","-",0,1,"-"
"99","accorare","accoro","akkoro","akkor","-","are","akkor","-","accora","akkora","akkor","-","accoriamo","akkoriamo","akkor","-","accori","akkori","akkor","-",0,1,"-"
"100","accorciare","accorcio","akkortSo","akkortS","tS","are","akkortS","tS","accorcia","akkortSa","akkortS","tS","accorciamo","akkortSamo","akkortS","tS","accorci","akkortSi","akkortS","tS",0,1,"-"
"101","accordare","accordo","akkordo","akkord","-","are","akkord","-","accorda","akkorda","akkord","-","accordiamo","akkordiamo","akkord","-","accordi","akkordi","akkord","-",0,1,"-"
