"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"29","agire","agisco","adGisko","adGisk","adG","k","ire","adG","dG","agisce","adGiSSe","adGiSS","-","agiamo","adGamo","adG","dG","agisca","adGiska","adGisk","k",1,0
"30","alleggerire","alleggerisco","alleddGerisko","alleddGerisk","alleddGer","k","ire","alleddGer","-","alleggerisce","alleddGeriSSe","alleddGeriSS","-","alleggeriamo","alleddGeriamo","alleddGer","-","alleggerisca","alleddGeriska","alleddGerisk","k",1,0
"31","allestire","allestisco","allestisko","allestisk","allest","k","ire","allest","-","allestisce","allestiSSe","allestiSS","-","allestiamo","allestiamo","allest","-","allestisca","allestiska","allestisk","k",1,0
"32","allibire","allibisco","allibisko","allibisk","allib","k","ire","allib","-","allibisce","allibiSSe","allibiSS","-","allibiamo","allibiamo","allib","-","allibisca","allibiska","allibisk","k",1,0
"33","ambire","ambisco","ambisko","ambisk","amb","k","ire","amb","-","ambisce","ambiSSe","ambiSS","-","ambiamo","ambiamo","amb","-","ambisca","ambiska","ambisk","k",1,0
"34","ammannire","ammannisco","ammannisko","ammannisk","ammann","k","ire","ammann","-","ammannisce","ammanniSSe","ammanniSS","-","ammanniamo","ammanniamo","ammann","-","ammannisca","ammanniska","ammannisk","k",1,0
"35","ammansire","ammansisco","ammansisko","ammansisk","ammans","k","ire","ammans","-","ammansisce","ammansiSSe","ammansiSS","-","ammansiamo","ammansiamo","ammans","-","ammansisca","ammansiska","ammansisk","k",1,0
"36","ammattire","ammattisco","ammattisko","ammattisk","ammatt","k","ire","ammatt","-","ammattisce","ammattiSSe","ammattiSS","-","ammattiamo","ammattiamo","ammatt","-","ammattisca","ammattiska","ammattisk","k",1,0
"37","ammollire","ammollo","ammollo","ammoll","ammoll","-","ire","ammoll","-","ammolle","ammolle","ammoll","-","ammolliamo","ammolliamo","ammoll","-","ammolla","ammolla","ammoll","-",0,1
"38","ammonire","ammonisco","ammonisko","ammonisk","ammon","k","ire","ammon","-","ammonisce","ammoniSSe","ammoniSS","-","ammoniamo","ammoniamo","ammon","-","ammonisca","ammoniska","ammonisk","k",1,0
"39","ammorbidire","ammorbidisco","ammorbidisko","ammorbidisk","ammorbid","k","ire","ammorbid","-","ammorbidisce","ammorbidiSSe","ammorbidiSS","-","ammorbidiamo","ammorbidiamo","ammorbid","-","ammorbidisca","ammorbidiska","ammorbidisk","k",1,0
"40","ammuffire","ammuffisco","ammuffisko","ammuffisk","ammuff","k","ire","ammuff","-","ammuffisce","ammuffiSSe","ammuffiSS","-","ammuffiamo","ammuffiamo","ammuff","-","ammuffisca","ammuffiska","ammuffisk","k",1,0
"41","ammutolire","ammutolisco","ammutolisko","ammutolisk","ammutol","k","ire","ammutol","-","ammutolisce","ammutoliSSe","ammutoliSS","-","ammutoliamo","ammutoliamo","ammutol","-","ammutolisca","ammutoliska","ammutolisk","k",1,0
"42","annerire","annerisco","annerisko","annerisk","anner","k","ire","anner","-","annerisce","anneriSSe","anneriSS","-","anneriamo","anneriamo","anner","-","annerisca","anneriska","annerisk","k",1,0
"43","annichilire","annichilisco","annikilisko","annikilisk","annikil","k","ire","annikil","-","annichilisce","annikiliSSe","annikiliSS","-","annichiliamo","annikiliamo","annikil","-","annichilisca","annikiliska","annikilisk","k",1,0
"44","annuire","annuisco","annuisko","annuisk","annu","k","ire","annu","-","annuisce","annuiSSe","annuiSS","-","annuiamo","annuiamo","annu","-","annuisca","annuiska","annuisk","k",1,0
"45","apparire","appaio","appaio","appai","appai","-","ire","appar","-","appare","appare","appar","-","appariamo","appariamo","appar","-","appaia","appaia","appai","-",1,0
"46","appassire","appassisco","appassisko","appassisk","appass","k","ire","appass","-","appassisce","appassiSSe","appassiSS","-","appassiamo","appassiamo","appass","-","appassisca","appassiska","appassisk","k",1,0
"47","appesantire","appesantisco","appesantisko","appesantisk","appesant","k","ire","appesant","-","appesantisce","appesantiSSe","appesantiSS","-","appesantiamo","appesantiamo","appesant","-","appesantisca","appesantiska","appesantisk","k",1,0
"48","appetire","appetisco","appetisko","appetisk","appet","k","ire","appet","-","appetisce","appetiSSe","appetiSS","-","appetiamo","appetiamo","appet","-","appetisca","appetiska","appetisk","k",1,0
"49","applaudire","applaudo","applaudo","applaud","applaud","-","ire","applaud","-","applaude","applaude","applaud","-","applaudiamo","applaudiamo","applaud","-","applauda","applauda","applaud","-",0,1
"50","approfondire","approfondisco","approfondisko","approfondisk","approfond","k","ire","approfond","-","approfondisce","approfondiSSe","approfondiSS","-","approfondiamo","approfondiamo","approfond","-","approfondisca","approfondiska","approfondisk","k",1,0
"51","appuntire","appuntisco","appuntisko","appuntisk","appunt","k","ire","appunt","-","appuntisce","appuntiSSe","appuntiSS","-","appuntiamo","appuntiamo","appunt","-","appuntisca","appuntiska","appuntisk","k",1,0
"52","aprire","apro","apro","apr","apr","-","ire","apr","-","apre","apre","apr","-","apriamo","apriamo","apr","-","apra","apra","apr","-",0,1
"53","ardire","ardisco","ardisko","ardisk","ard","k","ire","ard","-","ardisce","ardiSSe","ardiSS","-","ardiamo","ardiamo","ard","-","ardisca","ardiska","ardisk","k",1,0
"54","arguire","arguisco","arguisko","arguisk","argu","k","ire","argu","-","arguisce","arguiSSe","arguiSS","-","arguiamo","arguiamo","argu","-","arguisca","arguiska","arguisk","k",1,0
"55","arricchire","arricchisco","arrikkisko","arrikkisk","arrikk","k","ire","arrikk","k","arricchisce","arrikkiSSe","arrikkiSS","-","arricchiamo","arrikkiamo","arrikk","k","arricchisca","arrikkiska","arrikkisk","k",1,0
"56","arrochire","arrochisco","arrokisko","arrokisk","arrok","k","ire","arrok","k","arrochisce","arrokiSSe","arrokiSS","-","arrochiamo","arrokiamo","arrok","k","arrochisca","arrokiska","arrokisk","k",1,0
"57","arrossire","arrossisco","arrossisko","arrossisk","arross","k","ire","arross","-","arrossisce","arrossiSSe","arrossiSS","-","arrossiamo","arrossiamo","arross","-","arrossisca","arrossiska","arrossisk","k",1,0
"58","arrostire","arrostisco","arrostisko","arrostisk","arrost","k","ire","arrost","-","arrostisce","arrostiSSe","arrostiSS","-","arrostiamo","arrostiamo","arrost","-","arrostisca","arrostiska","arrostisk","k",1,0
"59","arrugginire","arrugginisco","arruddGinisko","arruddGinisk","arruddGin","k","ire","arruddGin","-","arrugginisce","arruddGiniSSe","arruddGiniSS","-","arrugginiamo","arruddGiniamo","arruddGin","-","arrugginisca","arruddGiniska","arruddGinisk","k",1,0
"60","assalire","assalgo","assalgo","assalg","assalg","lg","ire","assal","-","assale","assale","assal","-","assaliamo","assaliamo","assal","-","assalga","assalga","assalg","lg",1,0
"61","assentire","assento","assento","assent","assent","-","ire","assent","-","assente","assente","assent","-","assentiamo","assentiamo","assent","-","assenta","assenta","assent","-",0,1
"62","asserire","asserisco","asserisko","asserisk","asser","k","ire","asser","-","asserisce","asseriSSe","asseriSS","-","asseriamo","asseriamo","asser","-","asserisca","asseriska","asserisk","k",1,0
"63","asservire","asservo","asservo","asserv","asserv","-","ire","asserv","-","asserve","asserve","asserv","-","asserviamo","asserviamo","asserv","-","asserva","asserva","asserv","-",0,1
"64","assopire","assopisco","assopisko","assopisk","assop","k","ire","assop","-","assopisce","assopiSSe","assopiSS","-","assopiamo","assopiamo","assop","-","assopisca","assopiska","assopisk","k",1,0
"65","assorbire","assorbo","assorbo","assorb","assorb","-","ire","assorb","-","assorbe","assorbe","assorb","-","assorbiamo","assorbiamo","assorb","-","assorba","assorba","assorb","-",0,1
"66","assordire","assordisco","assordisko","assordisk","assord","k","ire","assord","-","assordisce","assordiSSe","assordiSS","-","assordiamo","assordiamo","assord","-","assordisca","assordiska","assordisk","k",1,0
"67","assortire","assortisco","assortisko","assortisk","assort","k","ire","assort","-","assortisce","assortiSSe","assortiSS","-","assortiamo","assortiamo","assort","-","assortisca","assortiska","assortisk","k",1,0
"68","attecchire","attecchisco","attekkisko","attekkisk","attekk","k","ire","attekk","k","attecchisce","attekkiSSe","attekkiSS","-","attecchiamo","attekkiamo","attekk","k","attecchisca","attekkiska","attekkisk","k",1,0
"69","atterrire","atterrisco","atterrisko","atterrisk","atterr","k","ire","atterr","-","atterrisce","atterriSSe","atterriSS","-","atterriamo","atterriamo","atterr","-","atterrisca","atterriska","atterrisk","k",1,0
"70","attribuire","attribuisco","attribuisko","attribuisk","attribu","k","ire","attribu","-","attribuisce","attribuiSSe","attribuiSS","-","attribuiamo","attribuiamo","attribu","-","attribuisca","attribuiska","attribuisk","k",1,0
"71","attutire","attutisco","attutisko","attutisk","attut","k","ire","attut","-","attutisce","attutiSSe","attutiSS","-","attutiamo","attutiamo","attut","-","attutisca","attutiska","attutisk","k",1,0
"72","aulire","aulisco","aulisko","aulisk","aul","k","ire","aul","-","aulisce","auliSSe","auliSS","-","auliamo","auliamo","aul","-","aulisca","auliska","aulisk","k",1,0
"73","auto-definire","auto-defino","auto-defino","auto-defin","auto-defin","-","ire","auto-defin","-","auto-define","auto-define","auto-defin","-","auto-definiamo","auto-definiamo","auto-defin","-","auto-defina","auto-defina","auto-defin","-",0,1
