"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"429","ricongiungere","ricongiungo","rikondGungo","rikondGung","ng","ere","rikondGundG","dG","ricongiunge","rikondGundGe","rikondGundG","dG","ricongiungiamo","rikondGundGamo","rikondGundG","dG","ricongiunga","rikondGunga","rikondGung","ng",1,0,"-"
"430","riconnettere","riconnetto","rikonnetto","rikonnett","-","ere","rikonnett","-","riconnette","rikonnette","rikonnett","-","riconnettiamo","rikonnettiamo","rikonnett","-","riconnetta","rikonnetta","rikonnett","-",0,1,"-"
"431","riconoscere","riconosco","rikonosko","rikonosk","k","ere","rikonoSS","-","riconosce","rikonoSSe","rikonoSS","-","riconosciamo","rikonoSSamo","rikonoSS","-","riconosca","rikonoska","rikonosk","k",1,0,"-"
"432","ricorreggere","ricorreggo","rikorreggo","rikorregg","g","ere","rikorreddG","dG","ricorregge","rikorreddGe","rikorreddG","dG","ricorreggiamo","rikorreddGamo","rikorreddG","dG","ricorregga","rikorregga","rikorregg","g",1,0,"-"
"433","ricorrere","ricorro","rikorro","rikorr","-","ere","rikorr","-","ricorre","rikorre","rikorr","-","ricorriamo","rikorriamo","rikorr","-","ricorra","rikorra","rikorr","-",0,1,"-"
"434","ricredere","ricredo","rikredo","rikred","-","ere","rikred","-","ricrede","rikrede","rikred","-","ricrediamo","rikrediamo","rikred","-","ricreda","rikreda","rikred","-",0,1,"-"
"435","ricrescere","ricresco","rikresko","rikresk","k","ere","rikreSS","-","ricresce","rikreSSe","rikreSS","-","ricresciamo","rikreSSamo","rikreSS","-","ricresca","rikreska","rikresk","k",1,0,"-"
"436","ricuocere","ricuocio","rikuotSo","rikuotS","tS","ere","rikuotS","tS","ricuoce","rikuotSe","rikuotS","tS","ricuociamo","rikuotSamo","rikuotS","tS","ricuocia","rikuotSa","rikuotS","tS",0,1,"-"
"437","ridere","rido","rido","rid","-","ere","rid","-","ride","ride","rid","-","ridiamo","ridiamo","rid","-","rida","rida","rid","-",0,1,"-"
"438","ridipingere","ridipingo","ridipingo","ridiping","ng","ere","ridipindG","dG","ridipinge","ridipindGe","ridipindG","dG","ridipingiamo","ridipindGamo","ridipindG","dG","ridipinga","ridipinga","ridiping","ng",1,0,"-"
"439","ridiscendere","ridiscendo","ridiSSendo","ridiSSend","-","ere","ridiSSend","-","ridiscende","ridiSSende","ridiSSend","-","ridiscendiamo","ridiSSendiamo","ridiSSend","-","ridiscenda","ridiSSenda","ridiSSend","-",0,1,"-"
"440","ridiscorrere","ridiscorro","ridiskorro","ridiskorr","-","ere","ridiskorr","-","ridiscorre","ridiskorre","ridiskorr","-","ridiscorriamo","ridiskorriamo","ridiskorr","-","ridiscorra","ridiskorra","ridiskorr","-",0,1,"-"
"441","ridiscutere","ridiscuto","ridiskuto","ridiskut","-","ere","ridiskut","-","ridiscute","ridiskute","ridiskut","-","ridiscutiamo","ridiskutiamo","ridiskut","-","ridiscuta","ridiskuta","ridiskut","-",0,1,"-"
"442","rieleggere","rieleggo","rieleggo","rielegg","g","ere","rieleddG","dG","rielegge","rieleddGe","rieleddG","dG","rieleggiamo","rieleddGamo","rieleddG","dG","rielegga","rielegga","rielegg","g",1,0,"-"
"443","riemergere","riemergo","riemergo","riemerg","g","ere","riemerdG","dG","riemerge","riemerdGe","riemerdG","dG","riemergiamo","riemerdGamo","riemerdG","dG","riemerga","riemerga","riemerg","g",1,0,"-"
"444","riempiere","riempio","riempio","riempi","-","ere","riempi","-","riempie","riempie","riempi","-","riempiiamo","riempiiamo","riempi","-","riempia","riempia","riempi","-",0,1,"-"
"445","riesplodere","riesplodo","riesplodo","riesplod","-","ere","riesplod","-","riesplode","riesplode","riesplod","-","riesplodiamo","riesplodiamo","riesplod","-","riesploda","riesploda","riesplod","-",0,1,"-"
"446","riflettere","rifletto","rifletto","riflett","-","ere","riflett","-","riflette","riflette","riflett","-","riflettiamo","riflettiamo","riflett","-","rifletta","rifletta","riflett","-",0,1,"-"
"447","rifondere","rifondo","rifondo","rifond","-","ere","rifond","-","rifonde","rifonde","rifond","-","rifondiamo","rifondiamo","rifond","-","rifonda","rifonda","rifond","-",0,1,"-"
"448","rifrangere","rifrango","rifrango","rifrang","ng","ere","rifrandG","dG","rifrange","rifrandGe","rifrandG","dG","rifrangiamo","rifrandGamo","rifrandG","dG","rifranga","rifranga","rifrang","ng",1,0,"-"
"449","rifriggere","rifriggo","rifriggo","rifrigg","g","ere","rifriddG","dG","rifrigge","rifriddGe","rifriddG","dG","rifriggiamo","rifriddGamo","rifriddG","dG","rifrigga","rifrigga","rifrigg","g",1,0,"-"
"450","rifulgere","rifulgo","rifulgo","rifulg","lg","ere","rifuldG","dG","rifulge","rifuldGe","rifuldG","dG","rifulgiamo","rifuldGamo","rifuldG","dG","rifulga","rifulga","rifulg","lg",1,0,"-"
"451","rileggere","rileggo","rileggo","rilegg","g","ere","rileddG","dG","rilegge","rileddGe","rileddG","dG","rileggiamo","rileddGamo","rileddG","dG","rilegga","rilegga","rilegg","g",1,0,"-"
"452","rilucere","riluco","riluko","riluk","k","ere","rilutS","tS","riluce","rilutSe","rilutS","tS","riluciamo","rilutSamo","rilutS","tS","riluca","riluka","riluk","k",1,0,"-"
"453","rimanere","rimango","rimango","rimang","ng","ere","riman","-","rimane","rimane","riman","-","rimaniamo","rimaniamo","riman","-","rimanga","rimanga","rimang","ng",1,0,"-"
"454","rimettere","rimetto","rimetto","rimett","-","ere","rimett","-","rimette","rimette","rimett","-","rimettiamo","rimettiamo","rimett","-","rimetta","rimetta","rimett","-",0,1,"-"
"455","rimordere","rimordo","rimordo","rimord","-","ere","rimord","-","rimorde","rimorde","rimord","-","rimordiamo","rimordiamo","rimord","-","rimorda","rimorda","rimord","-",0,1,"-"
"456","rimpiangere","rimpiango","rimpiango","rimpiang","ng","ere","rimpiandG","dG","rimpiange","rimpiandGe","rimpiandG","dG","rimpiangiamo","rimpiandGamo","rimpiandG","dG","rimpianga","rimpianga","rimpiang","ng",1,0,"-"
